언론사,제목,내용
매일일보,"윤희선 풀무원푸드머스 대표, ‘어린이 교통안전 릴레이 챌린지’ 동참","[매일일보 나기호 기자] 윤희선 풀무원푸드머스 대표가 어린이 보호구역 내 교통안전 실천을 위한 '어린이 교통안전 릴레이 챌린지'에 참여했다고 29일 밝혔다. 지난해 12월 행정안전부가 시작한 ‘어린이 교통안전 릴레이 챌린지’는 어린이 보호구역 내 안전운전과 어린이 보호 최우선 문화 정착을 위한 캠페인이다. 국민 아이디어 공모를 통해 선정된 어린이 교통안전 표어(1단 멈춤, 2쪽 저쪽, 3초 동안, 4고 예방) 팻말을 SNS로 인증한 뒤 다음 참여자를 지명하는 방식으로 이뤄진다. 윤 대표는 양송화 한국식자재유통협회 회장의 지목을 받아 캠페인에 동참하게 됐다. 다음 주자로 콜린 클락(Colin Clark) 써브웨이코리아 대표를 지목했다. 풀무원푸드머스는 다양한 영유아 유관기관과 올바른 식습관 형성을 위한 MOU를 체결하고 아이들의 건강한 성장 발달을 위한 지원에 힘쓰고 있다. 협약을 통해 풀무원만의 깐깐한 바른먹거리 원칙과 영유아 급식 현장에서 쌓은 노하우를 바탕으로 로하스식생활교육, 위생교육, 쿠킹클래스 온·오프라인 교육 등을 제공하고 있다. 윤 대표는 ""이번 캠페인을 통해 미래 세대의 주역인 어린이의 안전이 최우선 되는 성숙한 교통 문화가 조성되길 바란다""며 ""풀무원푸드머스는 앞으로도 어린이를 위한 사회 공헌 활동을 이어가는 등 사회적 문제 해결을 위해 적극 동참할 것""이라고 밝혔다. "
매일일보,"풀무원푸드머스, 경기도국공립어린이집연합회와 식습관 MOU 체결","[매일일보 황양택 기자] 풀무원 계열 식자재 유통기업 풀무원푸드머스는 경기도국공립어린이집연합회(이하 연합회)와 영유아의 올바른 식습관 형성을 위한 업무 제휴 협약을 체결했다고 18일 밝혔다. 풀무원푸드머스 서울 수서 본사에서 열린 이번 체결식은 박성후 풀무원푸드머스 B2B 영업본부장과 김복순 연합회 회장 등 관계자 40명이 참석했다. 연합회는 1993년에 설립돼 경기도 내 30개 시·군 1050여개 어린이집의 연대 단체로, 국공립 어린이집의 정체성과 위상을 확립하고 보육의 질을 향상하기 위해 노력하고 있다. 양측은 이번 협약에 따라 아이들의 올바른 식습관 형성을 통한 건강한 성장 발달을 도모하고 어린이집 보육환경 개선을 위한 교육과 인적자원을 상호 지원하기로 했다. 영유아의 안전한 급식 정보를 교류하고 영양·위생 교육도 지원한다. 풀무원푸드머스는 풀무원만의 깐깐한 바른먹거리 원칙과 영유아 급식 현장에서 쌓은 노하우를 바탕으로 연합회에 로하스식생활교육, 위생교육, 쿠킹클래스 온·오프라인 교육지원을 제공하게 된다. 김복순 회장은 “어린이집 교육의 질적 수준 향상은 물론 아이와 부모, 교사가 행복해하는 공보육의 기초를 세우는 것이 연합회의 목표“라며 ”영유아 급식 분야의 전문성을 지닌 풀무원푸드머스와 적극 협력해 아이들이 건강하게 자랄 수 있도록 더 힘쓰겠다”고 말했다. 박성후 영업본부장은 “이번 협약으로 연합회와 협력을 강화해 식습관 형성과 영양 균형이 매우 중요한 영유아를 위한 맞춤형 콘텐츠와 식단을 제공하겠다”며 “그동안 풀무원푸드머스가 영유아 급식 시장에서 쌓은 노하우로 어린이집의 보육환경 개선에 적극 노력하겠다”고 밝혔다. "
매일일보,"풀무원푸드머스, 전국시군구육아종합지원센터 협의회와 MOU 체결","[매일일보 황양택 기자] 풀무원 계열 식자재 유통기업 풀무원푸드머스(는 전국시군구육아종합지원센터 협의회와 영유아들의 건강한 식습관 형성을 위한 교육지원사업 협력 관련 업무협약(MOU)을 체결했다고 5일 밝혔다. 문경시 육아종합지원센터에서 열린 이번 체결식에는 박성후 풀무원푸드머스 영업본부장과 김현익 전국시군구육아종합지원센터 협의회 회장, 최종미 센터장, 박정태 센터장 등이 참석했다. 이번 협약은 풀무원푸드머스와 전국시군구육아종합지원센터 협의회가 인적자원과 정보를 교류해 영유아의 올바른 식습관 형성을 통한 건강한 성장발달 도모에 적극 협력하기 위해 추진됐다. 협약을 통해 풀무원푸드머스는 풀무원만의 바른먹거리 원칙과 급식 현장에서 쌓은 노하우를 바탕으로 전국시군구육아종합지원센터 협의회에 로하스식생활교육, 위생교육, 쿠킹클래스 온·오프라인 교육지원을 제공하게 된다. 김현익 전국시군구육아종합지원센터 협의회 회장은 “푸드머스와의 업무협약을 통해 바른 식생활과 안전한 먹거리를 위한 정보 제공과 코로나19 비대면 시대 가정이나 어린이집에 활용 가능한 위생, 영양 관리를 위한 각종 콘텐츠 제공으로 성장기 영유아에게 도움이 되길 바란다”고 말했다. 박성후 풀무원푸드머스 영업본부장은 “이번 협약으로 교사와 부모, 지역사회까지 아이들의 건강한 성장을 위해 협력할 수 있는 장이 마련됐다“며 ”풀무원푸드머스가 가진 영유아 급식 전문성을 바탕으로 앞으로도 아이들의 건강한 성장을 위한 유익한 교육을 다양하게 전달할 계획이다”라고 밝혔다. "
매일일보,"풀무원, 국산콩두부 ‘글로벌 탄소발자국 인증’ 획득… 美 수출 두부도 추진","[매일일보 나기호 기자] 풀무원은 국산콩두부 10종이 영국 친환경 인증기관 ‘카본 트러스트’의 ‘탄소발자국’ 인증을 획득했다고 30일 밝혔다. ‘카본 트러스트’는 영국 정부가 기후 변화 대응과 탄소 감축을 위해 설립한 비영리 기관으로 전 세계 기업, 공공기관 등을 대상으로 탄소·물·폐기물 등의 ‘환경발자국 인증’ 사업을 진행하고 있다. 이 중 ‘탄소발자국’은 제품의 제조 전 단계부터 폐기까지 발생하는 총 탄소 배출량을 산정하여 수여하는 인증이다. 카본 트러스트 모건 존스(Morgan Jones) 인증원장은 ""풀무원이 한국 식품기업 최초로 카본 트러스트의 탄소발자국 인증을 획득해 축하한다. 이번 성과는 지속가능성에 대한 풀무원의 헌신과 정확한 제품 정보를 소비자에게 전달하는 풀무원의 노력을 잘 보여준다”며 “지속가능성 제고, 환경보호, 기후변화 대응에 있어 앞으로 풀무원과 함께 나아가길 바란다”고 전했다. 풀무원은 해외 두부사업 성장에 따라 글로벌 시장에서도 공신력 있는 친환경 인증을 확대하고 있다. 내수용인 국산콩두부 10종에 이어 내년에는 해외 수출하는 두부 제품까지 탄소발자국 인증을 확대하고, 2022년에는 카본 트러스트의 ‘저탄소 인증’ 획득을 목표로 두부 제품에서 탄소 배출량을 줄여나갈 계획이다. 실제 풀무원은 올해 미국에만 약 1000만 모 이상의 두부 수출을 확정했다. 풀무원 미국법인의 두부사업은 매년 두 자리 성장률을 보이고 있으며, 미국 닐슨에 의하면 미국 두부 시장도 전년대비 올해 약 50% 성장했다. 풀무원은 이러한 환경경영 성과 배경을 ‘친환경’ 사업전략이라고 꼽았다. 제품 제조 전 단계와 폐기 단계에서는 ‘환경을 생각하는 포장 3R 원칙’을 적용해 플라스틱 포장재 줄이기, 재활용이 쉬운 포장재 도입, 화학물질이 남지 않는 수성잉크 사용 등을 통해 탄소 배출을 줄이고 있다. 제품 제조 단계에서는 신재생에너지를 적극 도입했다. 풀무원은 두부공장, 김치공장, 물류센터 등 전국 9개 사업장에 태양광 발전과 태양열 집열 설비를 구축해 탄소 배출량을 줄이고 생산 부산물을 재활용하고 있다. 풀무원은 두부 공장의 생산 부산물인 ‘비지’를 순환자원 인정을 받아 폐기물이 아닌 자원으로 선순환을 하고 있다. 풀무원 홍은기 ESH 담당은 ""사람과 자연을 함께 사랑하는 로하스기업 풀무원은 안전하고 안심하게 먹을 수 있는 바른먹거리를 만드는 것에 그치지 않고 지구환경까지 고려한 친환경 제품 개발에 끊임없이 노력하고 있다”며 “2022년까지 풀무원의 모든 제품에 재활용 우수 포장재를 적용하고 온실가스 배출량 35%, 에너지 사용량 24%, 물 사용량 50%, 폐기물 배출량 60%를 감축하겠다”고 밝혔다.   "
매일일보,"풀무원푸드머스, ‘킨더슐레보육경영연구소’와 바른먹거리 MOU 체결","[매일일보 전지현 기자] 풀무원 계열 식자재 유통기업 ㈜풀무원푸드머스는 국내 대표 직장보육시설 위탁운영 비영리 전문기관 킨더슐레보육경영연구소와 바른먹거리 공급 및 영유아들의 건강한 식습관 형성을 위한 교육지원 사업 협력에 관한 업무협약(MOU)을 체결했다고 1일 밝혔다. 풀무원푸드머스는 영유아 전문브랜드 ‘풀스키즈’를 운영하는 식자재 유통기업이다. 이번 업무협약을 통해 킨더슐레보육경영연구소가 위탁운영 중인 전국 80여개 공공기관 및 공기업, 일반 기업체 직장어린이집에 영유아 전문 식재료 공급과 더불어 ‘푸드브릿지(편식교정)’ 교육 프로그램으로 건강, 영양 교육을 하게 된다. 이외에도 풀무원푸드머스의 위생, 안전 전문강사가 직접 어린이집을 방문하여 영양사, 조리원을 대상으로 맞춤교육을 제공함으로써 안전한 급식환경 조성을 위해 지원할 것이다. 이날 협약식에는 박성후 풀무원푸드머스 영업본부장과 김은경 킨더슐레보육경영연구소 대표 등 양사 임직원이 함께 참석했다. 박성후 풀무원푸드머스 영업본부장도 ""풀무원푸드머스가 가진 영유아 급식 전문성을 바탕으로 아이들의 건강한 성장을 위해 최선을 다해 노력하겠다""라고 말했다. 한편, 풀무원푸드머스는 풀무원의 식자재 유통 전문기업으로 로하스(LOHAS) 가치를 기반으로 하는 특화된 제품과 식자재 및 서비스를 제공하고 있다. 식자재 브랜드로 풀스키즈, 풀스키친, 풀스케어를 운영하고 있다. 특히 영유아 전문브랜드 풀스키즈는 신선하고 안전한 원료를 기반으로 아이들의 상장과 영양 균형을 고려한 식자재를 공급한다. "
매일일보,"풀무원, 14년 연속 ‘한국에서 가장 존경받는 기업’ 선정","[매일일보 임유정 기자] 풀무원이 14년 연속 ‘한국에서 가장 존경받는 기업’에 선정됐다. 풀무원은 한국능률협회컨설팅에서 주관하는 ‘2020 한국에서 가장 존경받는 기업’ 올스타(All Star) 30에 14년 연속 선정됐다고 26일 밝혔다.
   이후 △혁신능력 △주주가치 △직원가치 △고객가치 △사회가치 △이미지가치 등 6개 핵심가치로 구성된 ‘요소품질’과 한국에서 가장 존경 받을 만한 기업 리스트업 비율인 ‘추천율’, 각 기업에 대한 응답자의 존경 수준을 평하는 ‘전반적 평가’ 등에 대한 조사를 통해 상위 30개 기업을 ‘All Star’로 선정, 발표했다.
 
풀무원은 올해 전년대비 소폭 상승한 최종지수 459.06점(1000점 만점)을 획득해 전체 종합 순위 26위에 올랐다. 한국에서 가장 존경 받는 기업을 추천하는 비율이자 올스타 선정에 주요 비중을 차지하는 ‘추천율’ 부문에서 최근 5년간 꾸준히 10위권을 유지하는 것으로 나타났다. 또한, 기업 신뢰도와 선호도를 나타내는 이미지가치 부문에서 7.68점(10점 만점)을 획득했다.
   풀무원은 ‘인간과 자연을 사랑하는 로하스 기업’ 기업미션 아래 친환경 포장 확대, 동물복지 실천 등의 지속가능경영 활동을 꾸준히 펼치고 있다.
 
풀무원은 어린이들의 올바른 식습관 형성을 위한 ‘바른먹거리 캠페인 교육’을 2010년부터 전개하고 있다. 동물복지를 육식 식습관 개선차원에서 접근한 어린이 동물복지 바른먹거리 교육을 작년 30회에서 올해 100회로 확대 운영해 바른먹거리 가치를 전파하고 있다.
 
시니어층을 대상으로 ‘시니어 바른먹거리 교육’도 진행하고 있다. 풀무원 생산공장이 위치한 충북 음성 지역 시니어를 대상으로 올바른 식생활 정보를 제공하고 대학병원, 지역 보건소 등 전문기관과 협력하여 건강 증진을 위한 식생활 개선 사업을 실시하고 있다. 작년 한 해 동안 대사증후군 진단받은 시니어 중 32.6%가 개선됐다.
 
풀무원은 지속가능경영 활동으로 친환경을 꾸준히 실천하고 있다. ‘Eco-Friendly 전략’을 로하스 7대 전략 중 하나로 정하고 이를 달성하기 위해 ‘환경을 생각한 포장’ 원칙을 적용했다. 포장재 개발 단계서부터 지속가능성을 고려해 플라스틱 사용과 이산화탄소 배출을 줄여 환경에 끼치는 부정적 영향을 최소화했다. 2016년부터 두부, 콩나물 등 4개 대표 제품에 대해 탄소절감 및 물 사용 감축목표를 도출하고 전 계열사 제품에서 원료부터 포장, 제조, 유통, 소비 모든 과정의 탄소배출량과 물 사용량을 줄여오고 있다. 또한 풀무원은 2007년 동물복지 개념을 국내 최초로 사업에 도입한 바 있다.
 
풀무원 관계자는 “이웃사랑과 생명을 존중하는 기업 정신과 친환경적 경영을 바탕으로 안전한 먹거리를 제공하고 다양한 사회공헌 활동을 지속해온 결과 14년 연속으로 한국에서 존경 받는 기업에 선정됐다”라며 “앞으로 풀무원은 앞으로도 기업의 사회적 책임활동을 적극 수행하여 주주와 직원, 고객과 사회로부터 존경 받을 수 있는 글로벌 로하스 기업으로 성장해 나가겠다.”고 밝혔다."
매일일보,"풀무원, 냉동HMR 간식 신제품 ‘모짜렐라·앙크림 치즈볼’ 2종 출시","[매일일보 임유정 기자] 풀무원이 간식 신제품 ‘냉동 치즈볼’을 선보인다. 풀무원식품은 고소한 치즈와 쫄깃한 빵 식감이 일품인 ‘모짜렐라 치즈볼’(360g)과 달콤한 팥앙금과 진한 크림치즈를 동시에 즐길 수 있는 ‘앙크림 치즈볼’(360g)을 출시했다고 30일 밝혔다. 풀무원은 지난해 ‘얇은피꽉찬속 만두’의 메가히트에 이어 냉동밥(황금밥알 볶음밥), 피자(노엣지·크러스트 피자)도 시장에서 선풍적인 인기를 끌며 냉동HMR 시장 트렌드를 리드해오고 있다. 최근 2년간 냉동HMR R&D에 집중 투자하여 혁신적인 제품들을 연이어 선보인 결과다. ‘모짜렐라 치즈볼’과 ‘앙크림 치즈볼’은 겉은 바삭하면서 속은 쫄깃함이 어우러지도록 차별화한 냉동 치즈볼이다. 치즈볼 전용 빵가루를 개발 적용하여 바삭함을 높였고, 도우에는 쫄깃한 식감까지 더했다. 전자레인지나 에어프라이어로 간편 조리하여 맛있는 전문점 스타일의 ‘겉바속쫄’ 치즈볼을 집에서도 즐길 수 있다. ‘모짜렐라 치즈볼’은 100% 자연산 모짜렐라 치즈와 꿀을 넣어 달콤하고 고소한 맛이 일품이다. 여기에 숙성된 자연산 프로볼로네 치즈를 사용해 특유의 깊은 풍미가 살아난다. 속은 모짜렐라 치즈와 꿀이 가득 차있어 ‘단짠단짠’ 먹는 재미도 즐길 수 있다. ‘앙크림 치즈볼’은 팥앙금과 뉴질랜드산 자연 크림치즈로 달콤하면서 짭쪼름한 맛을 낸다. 특히 속 재료를 섞는 대신 쫄깃한 빵이 통팥 앙금을 감싸고, 앙금 속에 크림치즈가 자리 잡는 3중 레이어드 방식으로 개별 속 재료 고유의 맛을 풍부하게 느낄 수 있게 했다. 전자레인지에 살짝 돌리면 빵은 따뜻하면서 크림치즈는 시원한 이색 간식이 된다. 치즈볼 2종은 간편하게 조리하면서도 전문점 못지않은 뛰어난 맛을 즐길 수 있다. 에어프라이어를 예열한 후 160℃에서 약 8~9분만 조리하면 바삭함이 살아있는 맛있는 치즈볼이 완성된다. 보다 간단한 조리를 원할 경우 전자레인지에 넣고 개당 30초만 가열하면 된다. 풀무원의 엄격한 바른먹거리 품질 기준 적용으로 건강하고 깨끗하게 제조된 재료만 사용하여 안심하고 먹을 수 있다. 치즈는 100% 자연 치즈만 사용했으며 착향료, 착색료, 유화제 등을 일절 사용하지 않았다. 보통의 냉동 간편식 제품과는 달리 풀무원 치즈볼 2종은 온라인에 먼저 입점을 시작했다. 치즈볼 제품 특성상 온라인에서 입소문으로 트렌드가 되고 확산되어 가는 점을 고려하여 온라인 선론칭하여 좋은 반응을 얻고 있다. 오프라인은 1월 코스트코 입점에 이어, 2월 중 대형할인점으로 판매처를 확산해나갈 계획이다. 성하은 풀무원식품 냉동밥&스낵CM PM(Product Manager)은 “냉동HMR은 글로벌 트렌드로, 우리나라에서도 해를 거듭할수록 성장하고 있는 시장이다. 아직 형성되지 않은 세부 시장이 많으며, 그 중 냉동 간식류는 성장 잠재력이 매우 큰 분야다”라며 “풀무원은 소비자의 다양한 취향을 반영한 유탕 간식 라인업을 지속해서 확대해나갈 예정이다”라고 밝혔다.   "
매일일보,"풀무원 시니어 바른먹거리 교육, 대사증후군 32.6% 개선 효과","[매일일보 임유정 기자] 풀무원은 지난해 농촌 지역 시니어 식생활 개선 사업 ‘시니어 바른먹거리 교육’을 충북 음성군 수태리 마을과 동음리 마을 시니어를 대상으로 실시한 결과, 대사증후군 진단을 받은 43명 중 14명(32.6%)이 개선되는 등 건강지표 수치에 긍정적인 효과가 나타났다고 15일 밝혔다. 지난해 풀무원재단은 음성보건소와 함께 음성군 수태리 마을과 동음리 마을에 거주하는 시니어 64명을 대상으로 건강검진을 실시하고, 각 5개월간 마을밥상 제공, 식생활 및 건강생활 교육, 영양 상담, 건강기능식품 지원 등을 제공했다. 2019년 시니어 바른먹거리 교육의 가장 의미 있는 성과는 대사증후군 진단을 받은 시니어 중 32.6%가 교육 후 개선된 점이다. 교육 전 대사증후군 진단을 받은 시니어는 모두 43명으로 교육 후 검진에서는 14명의 시니어가 정상 판정을 받았다. 대사증후군이란, 복부비만, 고혈당, 고혈압, 낮은 HDL 콜레스테롤 수치, 중성지방 과다와 같은 위험인자를 한꺼번에 3가지 이상 가지고 있는 상태를 말한다. 보건복지부 자료에 따르면, 대사증후군은 특별한 증상이 잘 나타나지 않음으로 방치하면 심혈관질환, 뇌졸중 등 발병 위험이 2배 이상, 당뇨병 발병 위험이 10배 이상 높아진다고 한다. 작년 교육을 끝까지 이수한 64명은 대사증후군 위험 인자 수치들이 긍정적인 방향으로 변했다. 특히 두 마을 모두 체중, 허리둘레, 중성지방, 공복혈당 등의 수치는 교육 후 유의적으로 개선됐다. 64명의 평균 허리둘레 수치는 91cm에서 88cm로 줄었다. 남성 시니어는 92cm에서 89cm로, 여성 시니어는 90cm에서 88cm로 줄었으며, 국내 의학 기준에서 허리둘레는 남자 90cm 미만, 여자 85cm 미만으로 유지할 것을 권장한다. 중성지방 수치는 150mg/dL 이하로 유지할 것을 권장하는데, 작년 교육 후 평균 중성지방 수치는 178mg/dL에서 132mg/dL로 대폭 줄었다. 평균 공복혈당도 108mg/dL에서 98mg/dL로 감소했다. 공복혈당은 100mg/dL 이하로 유지하는 것을 권장하고 있으며, 126mg/dL 이상이면 당뇨병 환자로 의심한다. 또 소위 ‘나쁜 콜레스테롤’이라 불리는 LDL콜레스테롤 수치는 평균 101mg/dL에서 97mg/dL로 줄었고, ‘좋은 콜레스테롤’이라 불리는 HDL콜레스테롤 수치는 평균 50mg/dL에서 52mg/dL로 상승했다. 수축기 혈압 역시 평균 149mmHg에서 139mmHg로, 이완기 혈압은 평균 85mmHg에서 83mmHg로 감소했다. 참여자별로 개인적인 차이는 있으나 5개월간의 교육 기간 동안 큰 폭으로 수치 변화가 일어난 사례도 있다. 만 80세인 한 시니어는 사전 중성지방 수치가 337mg/dL에 달했으나 교육 후 144mg/dL로 대폭 감소했다. 또 수축기 혈압이 182mmHg에 달해 고혈압약을 복용 중이던 만 70세 시니어는 교육 후 108mmHg을 기록하며 정상 수치로 내려왔다. 윤민호 풀무원재단 사무국장은 “5개월이라는 교육 기간 동안 어르신들의 긍정적인 변화가 있었지만, 대사증후군은 평소 건강한 생활습관을 계속해서 이어 나가는 것이 매우 중요하다”라며 “풀무원은 바른먹거리 가치를 전파하는 로하스 기업으로서 앞으로도 시니어 건강증진을 위해 노력하겠다”고 말했다. ‘시니어 바른먹거리 교육’은 비영리 공익법인 풀무원재단이 2017년부터 농촌 지역 어르신들의 ‘식생활 개선을 통한 건강 증진’이라는 공익적 목표로 시작한 국내 최초의 ‘시니어 식생활 개선 사업’이다. 풀무원재단은 2017년 시범 운영을 시작했고, 2018년 음성군보건소와 업무협약(MOU)을 체결하며 본격 사업 시행에 나섰다. 한편, 대사증후군은 60대 이상 연령층에서 높은 비율로 나타나고 있다. 건강보험공단이 발표한 ‘2018 건강검진 통계연보’에 따르면 2018년 건강검진 수검자 1500만 명 중 30.4%가 대사증후군인 것으로 나타났다. 특히 60대는 39.0%, 70대는 47.9%, 80대 이상은 47.6% 가 대사증후군인 것으로 나타났다. 만 65세 이상의 고령 인구 중 절반에 가까운 인원이 대사증후군을 앓고 있는 셈이라 더욱 각별한 관리가 필요하다. "
매일일보,"풀무원, ‘2019년 DJSI평가’ 글로벌 식품 기업 중 2년 연속 10위권","[매일일보 임유정 기자] 풀무원이 다우존스가 평가하는 지속경영지수(DJSI) 평가에서 전세계 글로벌 식품 기업 가운데 2년 연속 10위권 안에 들며 지속가능경영의 우수성을 대외적으로 인정받았다.
   친환경 실천 노력으로 생수병과 아임리얼, 드레싱 등 모든 페트병 제품에 물에 잘 녹아 쉽게 분리되는 ‘수분리 라벨’을 적용해 재활용을 가능토록 했다. 수분리 라벨은 분리되지 않은 채로 배출된 라벨을 재활용 단계인 페트병 세척과정에서 쉽게 분리될 수 있도록 한 친환경 라벨이다. 소비자가 분리배출을 쉽게 할 수 있도록 돕는 라벨 절취선을 풀무원녹즙 전 제품에 적용했다.
 
풀무원재단은 바른먹거리, 지역사회공헌, 환경, 메세나 등 4대 사업영역에서 사회적 책임 경영을 해나가고 있다. 풀무원의 대표 사회공헌활동인 ‘바른먹거리 교육’은 당초 2020년까지 10만 명 교육을 목표로 했으나, 어린이집과 초등학교에서 교육 신청이 정원의 3배를 넘는 등 좋은 반응이 이어지면서 2018년 교육 인원 10만 명을 조기 달성했다. 이에 따라 오는 2022년까지 22만 명 교육으로 새로운 목표로 설정하고 현재 서울 및 수도권, 부산, 광주 지역에서만 시행되고 있는 교육을 전국 모든 광역시에서 진행할 수 있도록 인프라를 강화하고 있다.
 
이러한 노력을 인정받아 풀무원은 지난해 한국기업지배구조원(CGS)이 △환경경영(Environment) △사회책임경영(Social) △지배구조(Governance) 등 비재무적 성과를 평가하는 ESG평가에서 2017년부터 2년 연속으로 통합 A+등급을 획득했다. 2018년 산업통상자원부에서 주최한 ‘대한민국 사랑받는 기업 정부포상’에서 ‘공유가치창출(CSV)’ 부문상을 수상한 바 있다.
 
김종헌 풀무원 재무관리실장은 “'인간과 자연을 함께 사랑하는 로하스 기업’이라는 미션을 바탕으로 다양한 혁신활동과 친환경 경영, 사회적 책임 경영을 실천해온 결과 DJSI 평가에서 글로벌 수준의 성과를 달성할 수 있었다”며 “앞으로도 기업의 사회적 책임활동을 적극 수행하여 주주와 직원, 고객과 사회로부터 사랑받는 글로벌 로하스기업으로 당당히 앞장서 나가겠다""고 밝혔다."
매일일보,"풀무원 올가홀푸드, 친환경 농업 공로 '농림축산식품부 장관 표창' 수상","[매일일보 황양택 기자] 풀무원은 로하스 프레시 마켓(LOHAS Fresh Market) 올가홀푸드의 강병규 대표가 친환경 농업 발전에 기여한 공로를 인정받아 농림축산식품부 장관 표창을 수상했다고 5일 밝혔다. 이번 표창은 친환경 농업 발전에 기여한 농업인과 관련 단체 임직원 등을 대상으로 한 정부 포상이다. 강 대표는 친환경 식품 전문 유통기업의 대표로서 친환경 농산물 유통과 소비 촉진을 통한 산업 발전에 이바지한 공로를 인정받아 장관 표창을 수상했다. 올가홀푸드는 1981년 국내 최초 유기농 전문점으로 시작한 이래 친환경 바른 먹거리를 선보이고 있다. 전 제품은 친환경 재배 식품 우선 취급, 유전자 변형과 식품첨가물 함유 제품 배제, 생산 이력 관리 등의 엄격한 상품 취급 기준을 통해 선별된다. 특히 뛰어난 품질의 유기농산물을 재배하는 생산자를 선정하는 ‘올가 마이스터(Meister) 제도’를 통해 안심하고 먹을 수 있는 차별화된 유기농 신선식품을 소개해왔다. 환경친화적 매장 운영도 지속 확대하고, 녹색소비문화 확산을 위한 다양한 활동을 펼치면서 높은 평가를 받았다. 강병규 올가홀푸드 대표는 “올가홀푸드는 창립 이래 신뢰와 정직을 바탕으로 생산부터 유통에 이르는 전 단계에서 환경을 생각한 운영을 해왔다”며 “친환경 농가와의 상생, 지역사회에 기여, 지속가능한 상품의 지속적 확대, 환경 친화적 매장 운영 등 지속가능한 경영을 이어나갈 예정”이라고 말했다. "
