언론사,제목,내용
천지일보,풀무원 초고압 제면기술로 뽑은 ‘평양냉면’ 출시,천지일보황해연 기자 풀무원이 초고압 제면기술이 적용된 ‘풀무원 평양냉면’을 출시했다고 3일 밝혔다 풀무원 평양냉면은 최첨단 생면 제조설비를 도입한 ‘최첨단 생면공장’에서 업그레이드된 제면 공법인 ‘초고압 제면공법’이 적용된 첫 생면 제품이다 초고압 제면공법은 기존 제면공법의 3배자체 기준에 달하는 약 150마력의 압력으로 면을 뽑는 방식이다 이렇게 초고압 제면공법으로 뽑은 풀무원 평양냉면은 면에 함유된 전분이 쉽게 새어나가지 않으며 면발 두께는 10㎜로 가늘다 육수는 양지 육수를 베이스로 동치미 국물이 어우러졌다 풀무원은 외식으로 즐기던 평양냉면을 내식화해 대중성을 높인단 방침이다 조리법은 끓는 물에 면을 삶아 차가운 물에 헹궈낸 후 살짝 얼려 둔 육수를 그대로 부으면 된다 기호에 따라 동봉된 겨자소스를 넣거나 달걀 오이 초절임무 등을 곁들이면 된다 풀무원은 최근 충청북도 음성군 대소면에 준공한 최첨단 생면공장의 최신식 설비와 제면기술로 다시 한번 국내 생면시장 혁신을 이끌 계획이다 노혜란 풀무원식품 은 “풀무원 평양냉면은 풀무원이 지난 2002년 국내 식품업계 최초로 출시한 정통 평양냉면의 면발을 업그레이드한 생면 제품으로 차별화된 식감과 맛을 경험할 수 있다”며 “앞으로 풀무원은 바른 먹거리 원칙 아래 최첨단 생면공장의 독보적인 생면 기술을 활용해 건강하고 맛있는 다양한 혁신 제품을 적극적으로 선보일 계획”이라고 말했다 
천지일보,풀무원 온라인 모니터 요원 ‘’ 24기 모집,천지일보황해연 기자 풀무원식품이 바른먹거리를 사랑하는 풀무원 온라인 소비자 모니터 ‘’ 24기를 모집한다고 16일 밝혔다 이프레쉬는 제품 이용 실태와 제품 개발 방향 등에 대해 소비자 의견을 듣는 풀무원의 중요한 창구로 주로 온라인 설문조사를 통해 제품 개발에 참여한다 이번 이프레쉬 24기의 활동 기간은 내달 2일부터 오는 9월 30일까지 약 6개월이다 서울 및 수도권 거주 2549세 성인남녀라면 누구나 지원할 수 있다 단 본인 또는 가족이 풀무원을 비롯한 식품회사나 식품업종에 관련되지 않아야 한다 풀무원 및 타 식품회사 모니터로 활동 중이거나 과거 풀무원 모니터로 활동한 경우에도 모집 대상에서 제외된다 모집 기간은 이달 15일부터 30일까지이며 온라인으로 접수 진행된다 풀무원 이프레쉬 홈페이지에서 회원가입 후 홈페이지 상단의 이프레쉬 신청 배너를 클릭하면 된다 합격자 발표는 내달 2일 예정이다 이프레쉬 모니터 요원들에게는 설문조사 참여도에 따라 마일리지가 차등 지급된다 마일리지는 풀무원 온라인 쇼핑몰 ‘풀무원샵’에서 3개월에 한 번씩 적립금으로 전환해 현금처럼 사용할 수 있다 
천지일보,풀무원 코로나19시대 맞아 ‘시니어 바른먹거리 교육’ 실시,천지일보정인선 기자 풀무원이 코로나19 시대를 맞아 단체 교육 대신 11로 ‘시니어 바른먹거리 교육’을 실시한다고 11일 밝혔다 비영리 공익법인 풀무원재단은 올해 ‘시니어 바른먹거리 교육’을 충북 음성군 동음마을 시니어 34명의 가정에 전문 영양사 및 강사가 직접 방문해 개별 교육하는 방법으로 운영한다 지난 3년간 시니어 바른먹거리 교육은 마을회관에서 식생활 및 생활습관 단체 교육을 받고 다 함께 식사하는 마을 밥상 등으로 진행됐다 그러나 코로나바이러스감염증코로나19로 단체 교육이 어려워지면서 풀무원재단은 올해 시니어 바른먹거리 교육을 일대일 형식으로 전환해 운영하기로 했다 우선 음성군에 상주하는 전문 영양사가 교육 참여자 가정을 방문해 1 대 1 개인 맞춤형 영양상담을 진행하고 건강한 습관을 교육한다 교육 프로그램은 크게 두 종류로 나눠 식생활교육은 풀무원재단이 맡았고 건강생활교육 및 신체활동교육은 음성군 보건소가 담당하여 격주로 가정 방문한다 이와 함께 영양 불균형 해소를 돕기 위해 개인 식생활 특성을 고려한 개별 맞춤 도시락을 주 1회 제공하고 있다 코로나19 감염에 불안을 느끼는 시니어를 위해 바이러스 감염병 예방수칙을 자세히 풀어 설명하고 개인위생과 건강한 생활습관의 중요성을 강조하고 있다 기저질환이 있는 고령자들에게 코로나19 등 감염병의 위험성이 특히 크다는 점을 고려해 더욱 세심하게 교육하도록 했다 더불어 손 씻기 마스크 착용하기 등 코로나19 예방수칙을 일상에서 실천할 수 있도록 부착용 매뉴얼도 제작해 배포했다 ‘사회적 거리두기’를 준수하면서 인구가 드문 농촌 지역에서는 이웃 간 교류 횟수가 현저히 줄어든 탓에 심리적 고독감을 느끼는 시니어들이 속속 생겨났다 풀무원재단은 찾아가는 시니어 바른먹거리 교육의 꾸준한 상담과 가정방문을 통해 생활습관 개선은 물론 사회적 고립감 해소 효과도 거둘 수 있을 것으로 기대하고 있다 김지원 풀무원재단 시니어 바른먹거리교육 사업담당은 “올해 시니어 바른먹거리 교육은 코로나19가 장기화 되면서 농촌 지역 어르신들께 실질적으로 도움이 되는 방안을 모색해 ‘일대일 교육’으로 진행하게 됐다”며 “풀무원재단은 앞으로도 다양한 방법으로 시니어 건강증진에 힘쓸 계획이다”라고 말했다 
천지일보,풀무원푸드머스 ‘킨더슐레보육경영연구소’와 바른먹거리 공급 체결,천지일보정인선 기자 풀무원 계열 식자재 유통기업 ㈜풀무원푸드머스대표 윤희선가 국내 대표 직장보육시설 위탁운영 비영리 전문기관 킨더슐레보육경영연구소와 바른먹거리 공급 및 영유아들의 건강한 식습관 형성을 위한 교육지원 사업 협력에 관한 업무협약을 체결했다고 밝혔다 풀무원푸드머스는 영유아 전문브랜드 ‘풀스키즈’를 운영하고 있는 식자재 유통기업이다 이번 업무협약을 통해 킨더슐레보육경영연구소가 위탁운영 중인 전국 80여개 공공기관 및 공기업·일반 기업체 직장어린이집에 영유아 전문 식재료 공급과 더불어 ‘푸드브릿지편식교정’ 교육 프로그램으로 건강·영양 교육을 하게 된다 이외에도 풀무원푸드머스의 위생·안전 전문강사가 직접 어린이집을 방문해 영양사·조리원을 대상으로 맞춤교육을 제공함으로써 안전한 급식환경 조성을 위해 지원한다 이날 협약식에는 풀무원푸드머스 박성후 영업본부장과 킨더슐레보육경영연구소 김은경 대표이사 등 양사 임직원이 함께 참석했다 김은경 킨더슐레보육경영연구소 대표는 “영유아 식자재 시장을 선도하는 풀무원푸드머스와 공식적인 협력관계로 이번 업무협약을 맺게 돼 기쁘게 생각한다”며 “양사가 그동안 축적한 노하우를 바탕으로 아이들의 건강한 식문화 형성 및 보육환경 개선을 위해 노력해 가자”고 말했다 박성후 풀무원푸드머스 영업본부장은 “풀무원푸드머스가 가진 영유아 급식 전문성을 바탕으로 아이들의 건강한 성장을 위해 최선을 다해 노력하겠다고 말했다 한편 풀무원푸드머스는 풀무원의 식자재 유통 전문기업으로 로하스 가치를 기반으로 하는 특화된 제품과 식자재 및 서비스를 제공하고 있다 식자재 브랜드로 ▲풀스키즈 ▲풀스키친 ▲풀스케어를 운영하고 있다 특히 영유아 전문브랜드 풀스키즈는 신선하고 안전한 원료를 기반으로 아이들의 상장과 영양 균형을 고려한 식재자를 공급한다 
천지일보,풀무원건강생활 ‘온열 테라피 안마의자’ 출시 가전 렌탈 사업 본격 시작,천지일보정인선 기자 풀무원건강생활이 바른 먹거리 건강기능식품을 넘어 건강한 생활을 영위하는 로하스 가치의 삶을 전하고자 건강 가전 렌탈 비즈니스를 본격적으로 시작하며 첫 상품으로 ‘온열 테라피 안마의자’를 출시한다고 10일 밝혔다 풀무원건강생활은 코로나19시대를 맞아 집에 머무르는 시간이 많은 고객을 겨냥해 편안한 홈캉스를 즐기라는 차원에서 대표적인 휴식 가전인 ‘안마 의자’를 출시하게 됐다 이 제품은 온라인 풀무원샵 풀무원로하스 가맹점을 통해 렌탈 서비스 상담 및 신청·구매가 가능하다 풀무원건강생활 ‘온열 테라피 안마의자’는 신체의 긴장감을 완화해 마사지 효과를 극대화해주는 ‘온열 테라피’가 핵심이다 등 엉덩이 발 부분에 탑재된 전신 온열패드 온열 마사지 효과를 한층 더 깊게 해주는 온열 안마볼 온열 알고리즘이 적용된 온열 마사지 코스를 연계한 온열 시스템을 기반으로 온열에 특화된 안마를 선보인다 특히 에어 펌프 방식이 아닌 톱니가 맞물려 마사지를 해주는 기어 방식의 안마 메커니즘을 적용 목부터 어깨 등 허리 엉덩이까지 인체의 굴곡에 따라 세밀하게 체형을 인식하고 전신을 고르게 안마해준다 안마볼의 이동 범위를 확장한 제품으로 개발돼 어깨와 목에 특화된 마사지가 가능하다 또한 발뒤꿈치 부분의 센서가 자동으로 사용자의 체형을 스캔하고 다리 길이를 감지해 최적의 안마를 받을 수 있게 해준다 ‘온열 테라피 안마의자’에는 다양한 편의 기능을 담았다 편의 기능에는 ▲핸드폰의 블루투스와 안마의자의 블루투스 내부칩을 연동시켜 핸드폰의 음악을 안마의자에서 들을 수 있게 해주는 블루투스 스피커 기능 ▲신체가 받는 하중을 출이고 압력을 최대한 넓게 퍼트려 마사지를 받을 수 있게 해주는 무중력 모드 기능 ▲안마의자가 앞으로 슬라이딩되며 뒤 공간을 최소화하며 눕혀지는 자동 슬라이딩 기능 등이 있다 ‘온열 테라피 안마의자’ 온라인 렌탈 서비스 신청은 풀무원의 온라인 쇼핑몰 풀무원샵을 통해 가능하며 전국의 풀무원로하스 가맹점을 통해 렌탈 서비스 상담 및 신청·구매도 가능하다 일부 가맹점에서는 안마의자를 직접 체험해보고 렌탈 서비스 신청 및 구매를 할 수 있다 풀무원건강생활은 건강기능식품 스킨케어 중심의 방문판매 활동을 해왔던 풀무원로하스 가맹점 소속의 방문판매사원 ‘로하미’의 전문성 확보를 위해 ‘렌탈 서비스 전문 로하미’를 육성해 렌탈 서비스 신청 및 상담을 진행한다 한승준 풀무원건강생활 로하스 홈 사업부장은 “풀무원건강생활은 풀무원의 로하스 가치를 담은 건강·요리 가전을 중심으로 라인업을 점진적으로 더욱 강화해 나갈 계획”이라고 말했다 
천지일보,풀무원 온라인 소비자 모니터 요원 ‘’ 23기 모집,천지일보정인선 기자 풀무원식품이 바른먹거리를 사랑하는 풀무원 온라인 소비자 모니터 ‘이프레쉬’ 23기를 모집한다고 10일 밝혔다 풀무원 이프레쉬는 제품 이용 실태와 제품 개발 방향 등에 대해 전반적으로 소비자의 의견을 듣는 중요한 창구다 주로 온라인 설문조사를 통해 제품 개발에 참여한다 특히 이번 23기부터는 언택트 시대에 발맞춰 화상 인터뷰 심층 조사를 통해서도 소비자의 의견을 수렴할 예정이다 이프레쉬 23기의 활동 기간은 내달 7일부터 내년 3월 31일까지 약 6개월이다 모집 대상은 서울 및 수도권 거주 2549세 남녀라면 누구나 참여 가능하다 풀무원은 고객층 확대를 위해 과거 전업주부·취업주부 중심에서 22기부터 남성 대학생 미혼의 비중을 늘려 좀 더 폭넓은 소비자의 목소리를 듣고 있다 단 참여시 본인 또는 가족이 풀무원을 비롯한 식품회사 식품업종에 관련되지 않아야 한다 풀무원 및 타 식품회사 모니터로 활동 중이거나 과거 풀무원 모니터로 활동한 경우에는 모집 대상에서 제외된다 이프레쉬 모니터 요원들에게는 설문조사 참여도에 따라 마일리지가 차등 지급된다 마일리지는 풀무원 온라인 쇼핑몰 ‘풀무원샵’에서 3개월에 한 번씩 적립금으로 전환해 현금처럼 사용할 수 있다 모집 기간은 이달 10일부터 내달 4일까지며 온라인 접수만 가능하다 풀무원 이프레쉬 홈페이지에서 회원가입 후 홈페이지 상단의 신청 배너를 클릭하면 된다 합격자 발표는 내달 7일 예정이다 
천지일보,풀무원녹즙 셀프 건강 관리 위한 건강즙 선물세트 기획전 진행,천지일보정인선 기자 ㈜풀무원녹즙대표 김기석이 바쁜 일상에서 간편케 건강을 챙길 수 있도록 풀무원의 바른 먹거리 원칙에 따라 엄선한 원료로 건강케 만든 건강즙 선물세트 13종을 선보인다고 밝혔다 특히 올해는 선물 준비 부담을 덜 수 있도록 이달 22일까지 건강즙 2세트를 구매한 모든 고객에게 1세트30포를 추가로 제공한다 풀무원녹즙은 이번 가정의 달 건강즙 선물세트를 세대별 맞춤형으로 구성해 선택의 폭을 넓혔다 일교차가 큰 환절기 부모님 선물로는 ‘산이 내린 녹용과 삼의 힘 세트이하 산녹삼’를 준비했다 산녹삼은 뉴질랜드 정부의 엄격한 품질 관리 시스템 아래 청정 지역에서 방목으로 자란 사슴의 녹용과 산삼을 무균 배양한 산삼배양근의 영양을 그대로 담은 프리미엄 건강즙이다 여기에 ▲황기 ▲당귀 ▲갈근 등 소재 8종을 넣어 건강함을 더했다 풀무원의 독자적인 발효과학 기술력이 돋보이는 ‘발효숙성 시리즈 5종’ 선물세트도 준비됐다 건강한 원료에 풀무원의 발효 기술을 더해 맛과 영양을 높였다 ‘발효숙성홍삼 120’은 우수농산물 인증을 받은 국내산 인삼으로 만든 귀한 홍삼을 120시간 동안 두 번 발효숙성한 후 껍질부터 뿌리까지 통째로 갈아 넣은 제품이다 4년근 이상의 국내산 약도라지를 400시간 발효숙성해 만든 ‘발효숙성흑도라지 400’ 남해섬에서 해풍을 맞고 자라나 유용 성분이 풍부한 남해산 생마늘을 600시간 발효숙성해 목넘김이 부드럽고 속까지 편안한 건강음료 ‘발효숙성흑마늘 600’ 등이 있다 어머니와 아내 등 여성을 위한 선물로는 ‘석류가인’을 선보였다 석류가인은 우수한 품질로 잘 알려진 터키산 석류에 칡과 약콩·호박 등을 더해 새콤달콤한 맛에 영양까지 갖춘 건강즙이다 한 포 당 여성 건강에 좋은 칡 유래 이소플라본 12㎎과 폴리페놀 200㎎를 담았다 남해섬에서 해풍을 맞고 자란 남해약쑥에 ‘어머니에게 이롭다’는 뜻을 지닌 익모초를 더한 ‘남해약쑥과 익모초’도 준비됐다 일상에 활력이 필요한 아버지와 남편을 위한 건강즙으로는 헛개열매 추출액에 밀크씨슬추출물 분말을 더한 건강즙을 준비했다 ‘헛개열매와 밀크씨슬’은 헛개나무 잎 대신 유용 성분이 높은 국내산 헛개열매를 엄선해 진하게 추출한 프리미엄 건강즙이다 여기에 칡과 흑마늘 농축액 등의 영양까지 더해 일상에 활력이 필요할 때 간편케 음용키 좋다 성장기 아이들을 위한 건강즙으로는 ‘우리 아이 튼튼보감’ 선물세트를 마련했다 국내산 녹용에 오가피·동충하초 등 국산 원료를 더해 영양을 높이고 어린잎발효추출물과 포도 과즙 등으로 달콤한 맛을 더해 아이들도 부담 없이 즐길 수 있다 풀무원녹즙 가정의 달 선물세트는 풀무원녹즙 가맹점 또는 온라인 쇼핑몰 ‘풀무원샵’과 풀무원녹즙 홈페이지를 통해 주문할 수 있다 김기욱 풀무원녹즙 은 “5월 가정의 달을 맞아 가족들과 지인들의 건강을 챙기며 감사한 마음까지 전할 수 있도록 건강즙 선물세트 기획전을 준비했다”며 “좋은 원료로 까다롭게 만든 건강즙으로 주는 사람뿐 아니라 받는 사람에게도 뜻 깊은 선물이 되길 바란다”고 말했다 
천지일보,풀무원다논 아이러브요거트 ‘하루한컵 사랑한컵’ 건강 챙기기 캠페인 진행,천지일보정인선 기자 요거트 전문 기업 풀무원다논대표 정희련의 온 가족 활력 요거트 브랜드 ‘아이러브요거트 ’가 온 가족 건강을 위한 ‘하루한컵 사랑한컵’ 건강 챙기기 캠페인을 실시하고 참여한 소비자에게 푸짐한 경품을 증정한다 아이러브요거트 ‘하루한컵 사랑한컵’ 건강 챙기기 캠페인은 맛있는 하루 한 컵으로 가족 건강을 챙기자는 브랜드 핵심 가치를 전달하고 공유키 위한 취지로 마련됐다 아이러브요거트는 최근 온 가족 건강을 지키는 요거트 브랜드로서 전문성과 경쟁력을 강화키 위한 브랜드 리뉴얼을 진행한 바 있다 먼저 소비자에게 긍정적인 브랜드 경험을 제공키 위한 일환으로 ‘하루한컵 인증샷 이벤트’를 진행한다 아이러브요거트와 함께 하는 일상의 순간을 사진으로 찍어 올려 응모할 수 있다 아이러브요거트 공식 홈페이지 내 하루한컵 갤러리에 올리거나 개인 인스타그램·페이스북 등 계정에 사진을 게시한 후 해당 를 제출하면 된다 ‘하루한컵 인증샷 이벤트’에 참여한 소비자에게는 신세계 상품권·아이러브요거트 12입의 경품이 증정된다 응모자 중 1등에게는 다이슨 공기청정기를 선물할 예정이다 또한 아이러브요거트의 함유 성분 특장점을 전달코자 ‘건강한컵 투표 이벤트’도 마련했다 매주 5명씩에게 떠먹는 아이러브요거트12입이 제공된다 ‘하루한컵 사랑한컵’ 캠페인 이벤트는 이달 20일부터 내달 31일까지 진행되며 자세한 내용은 공식 홈페이지와 에서 확인이 가능하다 아이러브요거트는 요거트 전문기업 풀무원다논에서 선보이는 요거트 브랜드다 장 건강을 고려한 엘카제이 프로바이오틱스와 한국인에게 부족키 쉬운 비타민를 함유해 칼슘 체내 흡수를 돕는다 또한 요거트 전문 공장에서 엄선된 원료로 청정 발효해 안심하고 먹을 수 있으며 닐슨 데이터기준 지난 2015년부터 2019년까지 4년 연속 두 자리 수의 성장을 기록하면서 소비자들의 꾸준한 사랑을 받고 있다 풀무원다논 아이러브요거트 관계자는 “이번 캠페인은 최근 사회적 거리두기로 인해 집에서 머무르는 시간이 많아진 만큼 아이러브요거트 한 컵으로 간편케 건강을 챙겨보자는 취지로 마련됐다”며 “건강이 무엇보다 소중한 지금 나의 가장 가까운 곳에 있는 가족에게 일상 속 건강을 선사하며 특별하고 행복한 순간을 보내시길 바란다”고 말했다 한편 정희련 대표가 이끄는 풀무원다논은 풀무원의 바른 먹거리 철학과 100년 발효 역사를 지닌 프랑스 다논의 세계 1위 요거트 기술이 더해져 설립된 요거트 전문 기업이다 프랑스 다논이 보유한 4천여종의 유산균 중 엄선된 프로바이오틱스를 기반으로 ▲현재 8년 연속 세계 판매 1위1요거트 브랜드 ‘액티비아’ ▲온 가족 활력 요거트 ‘아이러브요거트’ ▲5년 연속 그릭요거트 국내 판매 1위 ‘풀무원다논 그릭2’▲위 전문 특화 발효유 ‘위솔루션’ 등의 다양한 제품을 판매하고 있다 
천지일보,키자니아 부산 개장 후 첫 신규시설 ‘바른먹거리 스쿨’ 오픈,천지일보최유라 기자 풀무원 ‘바름먹거리 스쿨’이 서울에 이어 부산에도 등장했다 글로벌 직업체험 테마파크 ‘키자니아 부산’은 개장 후 첫 번째 신규 체험시설인 ‘풀무원 바른먹거리 스쿨’을 지난 20일 첫 개장했다고 23일 밝혔다 ‘풀무원 바른먹거리 스쿨’은 지난 2014년 8월 서울에서 먼저 오픈했다 ‘풀무원 바른먹거리 스쿨’에서는 ‘푸듀케이터’ 직업을 체험할 수 있다 ‘푸듀케이터’는 푸드와 에듀케이터를 합친 말로 식생활과 관련된 건강 환경 등의 포괄적인 분야를 다루는 바른먹거리 전문가를 뜻한다 키자니아 부산이 새롭게 선보이는 ‘풀무원 바른먹거리 스쿨’에서는 아이들이 푸듀케이터로서 직접 선택한 신선한 식재료를 통해 오감을 느끼며 탐구할 수 있도록 도와준다 예를 들어 100 생과일로 만든 주스와 물에 착향료를 넣어 만든 과즙 주스를 비교해볼 수 있으며 자연에서 온 건강한 식재료의 중요성과 올바른 식습관 형성의 필요성을 깨달을 수 있도록 구성됐다 해당 시설은 4세 이상이면 누구나 참가할 수 있으며 체험 후에는 푸듀케이터 수료증과 직접 만든 아임리얼 순수착즙 오렌지 주스 1병을 제공품으로 받을 수 있다 키자니아 부산의 신규시설 ‘풀무원 바른먹거리 스쿨’ 관련 정보는 공식 홈페이지에서 확인할 수 있다 
천지일보,풀무원다논 ‘아이러브요거트’ 브랜드 리뉴얼 진행,천지일보정인선 기자 요거트 전문 기업 풀무원다논대표 정희련의 온 가족 활력 요거트 브랜드 ‘아이러브요거트 ’가 브랜드 리뉴얼을 단행한다고 11일 밝혔다 아이러브요거트는 바른 먹거리 기업 풀무원과 100년 발효기술 노하우를 지닌 다논이 만든 요거트 전문 기업 ‘풀무원다논’에서 선보이는 요거트 브랜드다 닐슨 기준 지난2015년부터 2019년까지 4년 연속 두 자리 수의 성장을 거듭하며 소비자들의 사랑을 받는 대표 요거트 브랜드로 자리매김하고 있다 이번 브랜드 리뉴얼은 온 가족 건강을 지키는 요거트 브랜드로서의 정체성을 강화하고 브랜드 전문성과 특장점을 보다 명확케 알림으로써 브랜드 경쟁력을 강화키 위함이다 먼저 브랜드 로고에 변화를 줬다 브랜드 명 ‘아이러브요거트’ 중 ‘러브’를 의미하는 빨간색 하트를 크게 강조해 하루 한 컵으로 가족 모두가 즐길 수 있는 맛있는 요거트 브랜드로써의 가치를 전달코자 했다 기존에 작은 글씨로 기재된 문장 형태의 특장점을 엘카제이 프로바이오틱스와 비타민 성분에 집중해 보다 눈에 잘 띌 수 있도록 구현하며 브랜드 신뢰도와 전문성을 강화했다 풀무원다논 아이러브요거트 관계자는 “이번 리뉴얼로 아이러브요거트가 엄선한 원료를 바탕으로 청정 발효해 아이부터 어른까지 맛있게 즐길 수 있는 요거트임을 알리는데 중점을 뒀다”며 “아이러브요거트는 맛과 건강 모두를 추구하는 소비자들의 니즈를 충족시킬 수 있는 브랜드로서의 정체성을 강화해 나갈 예정이다”고 말했다 한편 정희련 대표가 이끄는 풀무원다논은 풀무원의 바른 먹거리 철학과 100년 발효 역사를 지닌 프랑스 다논의 세계 1위 요거트 기술이 더해져 설립된 요거트 전문 기업이다 프랑스 다논이 보유한 4천여종의 유산균 중 엄선된 프로바이오틱스를 기반으로 현재 8년 연속 세계 판매 ▲1위1요거트 브랜드 ‘액티비아’ ▲온 가족 활력 요거트 ‘아이러브요거트’ ▲5년 연속 그릭요거트 국내 판매 1위 ‘풀무원다논 그릭2’ ▲위 전문 특화 발효유 ‘위솔루션’ 등의 다양한 제품을 판매하고 있다 
