,명사,횟수,
0,십,11,0
1,주범,11,1
2,복,11,1
3,운동가,11,1
4,입자,11,1
5,개도국,11,1
6,뚜껑,11,1
7,도착,11,1
8,센트럴,11,1
9,자본,11,1
10,웹,11,1
11,함유,11,1
12,팀장,11,1
13,번가,11,1
14,응원,11,1
15,명함,11,1
16,구미,11,1
17,비상,11,1
18,분사,11,1
19,병원,11,1
20,충격,11,1
21,입점,11,1
22,중견,11,1
23,노사,11,1
24,대구,11,1
25,블록,11,1
26,유틸리티,11,1
27,대학교,11,1
28,액화천연가스,11,1
29,구상,11,1
30,지도,11,1
31,마리,11,1
32,신선,11,1
33,의존,11,1
34,벌,11,1
35,교통부,11,1
36,명칭,11,1
37,조화,11,1
38,항,11,0
39,시행령,11,1
40,사탕수수,11,1
41,출하,11,1
42,서식,11,1
43,허브,11,1
44,조립,11,1
45,의약품,11,1
46,양국,11,1
47,이웃,11,1
48,번영,11,1
49,고품질,11,1
50,쓰리,11,0
51,춘천시,11,1
52,숨,11,1
53,운전,11,1
54,노출,11,1
55,부서,11,1
56,고자,11,1
57,경남,11,1
58,페이퍼,11,1
59,대원,11,1
60,아이템,11,1
61,개편,11,1
62,채식,11,1
63,전화,11,1
64,공학,11,1
65,최다,11,1
66,콜드,11,1
67,배양,11,1
68,야경,11,1
69,플리츠,11,1
70,마마,11,1
71,현수막,11,1
72,셰프,11,1
73,퇴비,11,1
74,식혜,11,1
75,플라잉,11,1
76,피카르,11,1
77,아리수,11,1
78,쿠폰,10,1
79,대나무,10,1
80,개혁,10,1
81,충족,10,1
82,결제,10,1
83,핫,10,1
84,식민지,10,1
85,브,10,0
86,배경,10,1
87,클라우드,10,1
88,닭,10,1
89,분위기,10,1
90,상위,10,1
91,육상,10,1
92,아버지,10,1
93,옆,10,0
94,원재료,10,1
95,보,10,0
96,가이드,10,1
97,초과,10,1
98,아웃,10,1
99,쌍,10,0
100,전쟁,10,1
101,공,10,0
102,경기장,10,1
103,상담,10,1
104,부정,10,1
105,의,10,0
106,헬스,10,1
107,한겨레,10,0
108,노조,10,1
109,유망,10,1
110,사외,10,1
111,피,10,1
112,버,10,0
113,마찬가지,10,0
114,씹,10,0
115,위주,10,1
116,장려,10,1
117,격차,10,1
118,원자재,10,1
119,브라질,10,1
120,주말,10,1
121,탄소세,10,1
122,채,10,0
123,포기,10,1
