,명사,횟수,
0,현행,12,1
1,소방,12,1
2,풍력,12,1
3,조사단,12,1
4,농장,12,1
5,증기,12,1
6,체제,12,1
7,동부,12,1
8,분기,12,1
9,융자,12,1
10,모색,12,1
11,부서,12,1
12,색도,12,1
13,고안,12,1
14,공부,12,1
15,추출,12,1
16,브랜슨,12,1
17,농어촌,12,1
18,감사원,12,1
19,성조숙증,12,1
20,근본,12,1
21,필리핀,12,1
22,베트남,12,1
23,기술원,12,1
24,질병,12,1
25,양평,12,1
26,수면,12,1
27,천변,12,1
28,문단,12,1
29,제초제,12,1
30,과일,12,1
31,기여금,12,1
32,사령부,12,1
33,상상,12,1
34,황제펭귄,12,1
35,꽃향기,12,1
36,판정,12,1
37,단말기,12,1
38,하동,12,1
39,순천만,12,1
40,박승기,12,1
41,초음속,12,1
42,콩코드,12,1
43,산재,11,1
44,전라남도,11,1
45,막,11,0
46,신체,11,1
47,부탁,11,1
48,충격,11,1
49,형,11,1
50,철,11,1
51,어른,11,1
52,얼굴,11,1
53,천만,11,1
54,지지,11,1
55,스마트폰,11,1
56,습관,11,1
57,사이트,11,1
58,척,11,0
59,경각심,11,1
60,미터,11,1
61,차수벽,11,1
62,토목,11,1
63,신경,11,1
64,연,11,0
65,분홍색,11,1
66,단어,11,1
67,하류,11,1
68,포럼,11,1
69,불안,11,1
70,확충,11,1
71,단장,11,1
72,철회,11,1
73,디엠,11,1
74,배치,11,1
75,조절,11,1
76,밀접,11,1
77,소수,11,1
78,날림,11,1
79,독자,11,1
80,정식,11,1
81,등지,11,1
82,교란,11,1
83,다수,11,1
84,방제,11,1
85,사단,11,1
86,봉사자,11,1
87,공감대,11,1
88,경영자,11,1
89,소프트,11,1
90,벤앤제리,11,1
91,모양,11,1
92,발간,11,1
93,안산,11,1
94,종료,11,1
95,보편,11,1
96,직장,11,1
97,식당,11,1
98,십,11,0
99,정원,11,1
100,폐사,11,1
101,위두,11,1
102,기상,11,1
103,공기업,11,1
104,선고,11,1
105,소파,11,1
106,테마파크,11,1
107,겁니다,11,0
108,예측,11,1
109,인용,11,1
110,무게,11,1
111,가을,11,1
112,작년,11,1
113,저하,11,1
114,폴리에틸렌,11,1
115,일각,11,1
116,사무소,11,1
117,스페인,11,1
118,시정,11,1
119,허브,11,1
120,빗물,11,1
121,중구,11,1
122,태백,11,1
123,농공,11,1
124,기타,11,1
125,분별,11,1
126,항,11,0
127,역학,11,1
128,대책위,11,1
129,익산시,11,1
130,특수,11,1
131,재조사,11,1
132,주체,11,1
133,브리더,11,1
134,사격장,11,1
135,개시,11,1
136,출입,11,1
137,분과,11,1
138,위해,11,1
139,크롬,11,1
140,과다,11,1
141,부여,11,1
142,선별,11,1
143,콜롬보,11,1
144,횟수,11,1
145,펀드,11,1
146,재고,11,1
147,전용,11,1
148,백화점,11,1
149,상자,11,1
150,언어,11,1
151,새,11,1
152,난방,11,1
153,황색,11,1
154,종사자,11,1
155,트리,11,1
156,하수구,11,1
157,과불,11,1
158,공립,11,1
159,유예,11,1
160,임업,11,1
161,함정,11,1
162,서해안,11,1
163,약품,11,1
