,명사,횟수
0,선민의식,1
1,메시,1
2,친필,1
3,콜라보,1
4,인내심,1
5,고출력,1
6,기갑,1
7,기동력,1
8,야전,1
9,강박,1
10,되,1
11,러셀,1
12,애니,1
13,폭등,1
14,전해조,1
15,간헐천,1
16,에오세,1
17,마푸체,1
18,연충,1
19,별거,1
20,조수,1
21,석문,1
22,서랍,1
23,남북문제,1
24,빈부,1
25,개스,1
26,련,1
27,반복,1
28,숭배,1
29,호감,1
30,삼엽충,1
31,드레,1
32,금가,1
33,분전,1
34,보네,1
35,랄,1
36,조온,1
37,마소,1
38,어마,1
39,묘사,1
40,묘미,1
41,청각,1
42,오감,1
43,감세,1
44,잡채,1
45,지령,1
46,자긴,1
47,해적,1
48,보트,1
49,유조선,1
50,납치,1
51,파키스탄,1
52,이란,1
53,보림,1
54,삼성생명,1
55,보복,1
56,주더,1
57,루트,1
58,임세,1
59,망령,1
60,도그마,1
61,에바,1
62,배한,1
63,한의사,1
64,고래잡이,1
65,분노,1
66,쿤,1
67,판도라,1
68,시좌,1
69,낙태,1
70,단안,1
71,프라이,1
72,애용,1
73,짬뽕,1
74,괴력,1
75,토니안,1
76,복제,1
77,흰쌀밥,1
78,삼겹살,1
79,김치찌개,1
80,사골,1
81,국음,1
82,옌,1
83,붕,1
84,케텐크라트,1
85,단총,1
86,우상,1
87,요즈음,1
88,도자,1
89,애서,1
90,옆구리,1
91,터짐,1
92,부르스,1
93,따구,1
94,동의어,1
95,오크,1
96,맨더,1
97,미안,1
98,너희,1
99,라이더,1
100,자위,1
101,액스,1
102,안노,1
103,꼬리말,1
104,옴,1
105,증세,1
106,밥통,1
107,이빨,1
108,짤짤이,1
109,영감탱이,1
110,지랄병,1
111,코트렐,1
112,짱,1
113,우덜,1
114,이슬람,1
115,일당,1
116,황제,1
117,무조,1
118,품절,1
119,뭔지,1
120,구림,1
121,멀미,1
122,생김치,1
123,새낀,1
124,단자,1
125,고집,1
126,호환,1
127,녀,1
128,남현우,1
129,분쟁,1
130,소평,1
131,태세,1
132,토네이도,1
133,악셀,1
134,선위,1
135,이격,1
136,관망,1
137,섹스,1
138,알트,1
139,칭전,1
140,무조건,1
141,삼천리자전거,1
142,디플레,1
143,명목,1
144,거래량,1
145,마르코,1
146,기름차,1
147,머저리,1
148,엳,1
149,그린백,1
150,도덕,1
151,우월감,1
152,지천,1
153,긴데,1
154,성수,1
155,현물,1
156,퇴색,1
157,지지대,1
158,휨,1
159,교대,1
160,규범,1
161,핵미사일,1
162,택트,1
163,뱅가드,1
164,낙마,1
165,두둔,1
166,냉전,1
167,낭만,1
168,외계인,1
169,랠리,1
170,전성시대,1
171,과소,1
172,과다,1
173,홍수,1
174,암울,1
175,막장,1
176,데미소다,1
177,육개장,1
178,저점,1
179,사라,1
180,태생,1
181,뭔,1
182,공산품,1
183,하이테크,1
184,전기료,1
185,씬,1
186,넘사벽,1
187,짱깨,1
188,토카막,1
189,정신병,1
190,표제,1
191,산업재,1
192,자본재,1
193,방산,1
194,괄호,1
195,응기,1
196,매지,1
197,막사,1
198,쥰,1
199,민생,1
200,욱,1
201,순식간,1
202,기마병,1
203,가야,1
204,별로,1
205,재양,1
206,드밀,1
207,소설,1
208,스코,1
209,종로,1
210,노스,1
211,아쿠시,1
212,교단,1
213,본거지,1
214,소나타,1
215,수벌,1
216,번데기,1
217,동식물,1
218,플랑크톤,1
219,삼학,1
220,승기,1
221,색히,1
222,소리야,1
223,안지수,1
224,액체수소,1
225,생나무,1
226,대장균,1
227,저걸,1
228,모지리,1
229,기본소득,1
230,유니클로,1
231,원이,1
232,기정,1
233,버튜,1
234,야고,1
235,기생,1
236,염병,1
237,캐,1
238,소전,1
239,전술,1
240,급선무,1
241,성적표,1
242,대어,1
243,비추,1
244,간격,1
245,말장난,1
246,행태,1
247,변명,1
248,주다,1
249,김한,1
250,피카츄,1
251,강제노동,1
252,바겐세일,1
253,하남,1
254,반반,1
255,폄하,1
256,재택,1
257,초딩,1
258,교과서,1
259,제모,1
260,음전,1
261,드럼,1
262,감시망,1
263,펑크,1
264,年,1
265,야크,1
266,無,1
267,나무젓가락,1
268,인덕션,1
269,반도유,1
270,보라,1
271,집집,1
272,전기선,1
273,예초기,1
274,이중고,1
275,심층,1
276,벌이,1
277,구인난,1
278,낭,1
279,바둑,1
280,체력,1
281,머들,1
282,게이머,1
283,허상,1
284,알람,1
285,시계,1
286,지라,1
287,험행,1
288,학력,1
289,포승,1
290,슈퍼카,1
291,토니,1
292,스타크,1
293,고공,1
294,고스톱,1
295,메세지,1
296,넵,1
297,실구,1
298,매가,1
299,알짜,1
300,향토,1
301,대진,1
302,얘긴,1
303,치사율,1
304,고흥,1
305,석류,1
306,음병,1
307,인류애,1
308,링구,1
309,조단백질,1
310,농업계,1
311,중공,1
312,무제,1
313,外,1
314,페타,1
315,밀어붙이기,1
316,노콘,1
317,섹,1
318,탁상공론,1
319,산유국,1
320,거지,1
321,테러리스트,1
322,도우미,1
323,주의자,1
324,에콜,1
325,프로그래밍,1
326,쌍두마차,1
327,껀,1
328,논외,1
329,급원,1
330,어울림,1
331,라따뚜이,1
332,봉화,1
333,오미산,1
334,첨,1
335,기면,1
336,퇴적물,1
337,유목,1
338,한우,1
339,차안,1
340,신보,1
341,입추,1
342,화종,1
343,얼떨결,1
344,웅어,1
345,환장,1
346,일용품,1
347,쾌속,1
348,질주,1
349,사이비,1
350,축전지,1
351,항속,1
352,후자,1
353,딤,1
354,안티,1
355,논란거리,1
356,나물,1
357,천원,1
358,박석배,1
359,청취,1
360,뜸,1
361,계산기,1
362,정산,1
363,동방,1
364,불패,1
365,담,1
366,가난,1
367,멸절,1
368,오리너구리,1
369,향해,1
370,형사,1
371,나랏일,1
372,알기,1
373,인방,1
374,억압,1
375,래곤,1
376,모기향,1
377,반환,1
378,껍데기,1
379,에오,1
380,제조법,1
381,끝판,1
382,상어,1
383,최병성,1
384,돔,1
385,수장,1
386,초호,1
387,개비,1
388,소릴,1
389,메모,1
390,그쪽,1
391,폐로,1
392,中企,1
393,운운,1
394,한태,1
395,트집,1
396,동감,1
397,작살,1
398,하남시,1
399,함,1
400,레인보우,1
401,아열대,1
402,과수,1
403,파란불,1
404,안갯속,1
405,치명,1
406,양날,1
407,프라이버시,1
408,채신,1
409,타국,1
410,미사일,1
411,사정거리,1
412,최호진,1
413,실업,1
414,나비효과,1
415,철저,1
416,선서,1
417,與,1
418,거름,1
419,하사,1
420,기세,1
421,스파이,1
422,루리웹,1
423,혐오,1
424,자임,1
425,옹호,1
426,퍼건,1
427,통령,1
428,회의감,1
429,광어,1
430,용인시,1
431,접시,1
432,현업,1
433,세탁실,1
434,다용도실,1
435,빙신,1
436,조센,1
437,명제,1
438,갈매기,1
439,대국민,1
440,레고,1
441,격변,1
442,숙인,1
443,완구,1
444,거요,1
445,총망라,1
446,닛산,1
