,내용
0,지방도시들의 경우 도시성장에 중요한 역할이 되기 때문에 다들 기를 쓰고 유치하려고 하는 것 같은데 막상 인접한 주민들은 각종 환경오염 문제 때문에 싫어하는 것 같습니다 산업단지도 산업단지 나름이지만
1,어딘가로 가서 누가 다시 입기도 하지만 어느 나라에서는 헌옷 쓰레기강 헌옷산 소가 풀대신 헌옷을 씹고 환경오염이 심각하네요 헌옷 플라스틱 등 이미 지구가 심각하게 병들었나 봅니다
2,역대급 바다 오염이 될것 같은데 국제 사회가 나서서 더 큰 환경오염을 막아야 같네요 컨테이너선에 실려있는 위험 물질 벙커유 278 질산 25 가스 50가 바다로 분출되어버리면 끝장나겠네요ㄷㄷ
3,어떻게 한사람 혓바닥이 전세계를 갖고놀수있는지ㅋㅋ 완전코미디 그나저나 범죄자가 코인으로 돈받으면 추적불가인가요 그게진짜면 코인은 범죄화폐네요 국가에서 금지시켜야 종이화폐랑 가상코인중 어느게 더 환경오염많나요
4,아침에 머스크가 트윗남겼죠 비트코인은 환경오염때문에 안될거같다고 그러면서 비트코인 에너지의 1미만인 암호화폐를 찾아본다고 했습니다 그게 바로 도지이고 이걸위해 투표떡밥을 던진거라보고 사람들도 그렇게 생각해 지금 상승세가 있는거라 생각합니다
5,넷플 씨스파라시 보고잇는데 바다 환경오염에 대한 다큐입니다 웰메이드네요 중반쯤 보고잇는데 결론은 일본은 역시 들입니다 전 지구적으로 도움안되는 나라 중국과일본쯤인듯
6,더 궁금하시면 842 여기 유튭 보시면되요ㅎㅎ
7,비트코인 체굴전기소비량이 아르헨티나 한국가의 전기 사용량보다 많다네요 비트코인 한 거래가 비자카드 74만건 거래의 탄소 사용량과 맞먹는다고 ㅎㅎ
8,요새 넷플로 시지프스 보고있는데요 문득 정말 미래에 환경오염이나 핵전쟁 등으로 저렇게 되면 어쩌나 하는 생각이 들더라고요 지금 감사하며 살아야하는건가 그러고 ㅋㅋ 시지프스 보시는 분들 계실까요 저는 재밋는데 친구들은 별루라고
9,텍사스는 영하 22도 라는데 우리도 몇일전만 해도 개추웠고 온도 변화가 심하네요 환경오염으로 인한 지구온난화 엘리뇨가 심각한거 같습니다
10,공공주택 예정지 캠프킴발암 확률 100명 중 2명 한국탐사저널리즘센터뉴스타파는 2020년 12월 반환된 미군기지 12곳의 환경오염 위해성 평가 보고서환경부 시행를 최초로 입 6070000000715
11,경제규모의 확대나 신기술의 개발을 진보라고 표현하는 실수를 저질러서 책에 풀어놓은 썰들이 힘을 못 받는 거임 예로 원자력 기술은 신기술임에도 이득보다 환경오염이라는 손해가 너무나 큰 기술이어서 진보라고 정의내릴 수 없음
12,에서 지표를 보면 앞에서 1등을 하거나 뒤에서 1등을 하는게 되게 많아요 중간은 별로 없는 극단적인 나라로 보여지네요 대표적인 1등 지표주거비 교육수준 뒤에서 1등 지표자살율 노인빈곤율 출산율 노동시간 산재사망률 이웃에 대한 믿음 환경오염
13,오늘 서랍장 정리하다가유물이 3개 스카이 폴더폰 나왔는데 이 안드로이드 노인들 어떻게 하면 좋을까요 이거 쓰레기통에 버리면 환경오염이니ㅠㅠ
14,금연합시다 길거리 담배피는 사람 벤치에 담배꽁총 환경오염 파괴자 건강 파괴자 얻는 대가가 자기몸은 종합병원이 되서 알수 없는 잔병에 시달리는
15,담배꽁초가 환경오염의 주범임을 알리기 위하여 본사앞에 새워둠 ㅋㅋ 광고천재 이제석님이 만들었다고 함
16,연료비가 싼것은 알겠는데 환경오염에도 더 나은가요 대표적인 매연가스 가 가솔린휘발유에 비해 환경오염에도 더 나은점이 있는지 가 좀더 조용한건 알겠는데 힘은 휘발유보다 부족하다던데
17,12 는 4 12 은 6 언제쩍 4 ㅋㅋㅋㅋㅋ
18,그냥 미뤄뒀는데 이거보고 싹다 정리했네요 올해 수온상승으로 태풍 몇개 맞고 보니 환경오염에 새삼 관심이 가네요
19,코로나의 순기능이네요 코로나로 중국에서 공장 안돌리니 미세먼지가 사라졌네요 미세먼지는 국내 환경오염때문이라는 환경단체는 이제 믿고 거릅시다
20,친구랑 지금 싸움났는데 전기도 어자피 원전이나 화력발전으로 나오는거고 폐배터리 어떡하냐는데 전기차도 환경오염 심한가여
21,어마어마한 환경오염의 주범
22,마스크 썩지도 않는다던데 인류재앙이네요
23,바닷물 한컵으로 인류가 100년동안 사용이 가능한 에너지를 생성 방사능환경오염 하지만 사실 상온핵융합은 애초에 실현 불가능한 기술이랑 의견도 있고 성공하더라도 100년은 걸릴것이라는 관측
24,202007140600000541179 전라남도에서 지리산 환경오염을 막기 위해 막는다고 하는데 그럼 일반버스고 뭐고 다막아야 하는거 아닌가요 아무리봐도 원래 있던 노선의 수익때문에 그러는거 같은데
25,전기차가 친환경이라고 하는데 생각해보면 전기를 생산하는 방식이 환경오염을 시키는데 그게 그거아닌가싶네요
26,물에서도 안지워지거나 효과가 남는 선크림인건가요 이것도 환경오염되는건 마찬가지인가요
27,20200613204005383 환경오염까지 시키네요
28,마스크 장갑 폐기물 쓰레기를 마구 버려 바다에서 떠밀려 온다네요 환경오염이 가속화 중국은 세계의 암적 존재인듯
29,전염병이랑 환경오염이랑 방사능이랑 미세먼지랑 제명에 못살거같음
30,우리처럼 분리수거 안하고 그냥 통채로 내놓으면 알아서 환경미화원이 가져간다고 합니다 그 쓰레기는 멕시코에 묻고요 다른 이야기지만 에어컨 히터도 펑펑 쓴다고 합니다 미국중국이 환경오염의 주범이구만
31,이 냉동팩좋네요 지속시간이 줄어들어도 보냉젤 환경오염 처치곤란 생각하면 녹으면 물버리고 비닐분리수거하고 앞으로 보냉젤 규제 하면 더 바람직하겠구요
32,어제 신정 차례를 모시고 아버지가 계신 추모공원에 가보았는데 뭔가 허전한 느낌이랄까 가만보니 2020년부터는 조화반입이 안된다고 합니다 이것도 환경오염과 관련이 있는듯 하네요 다음부턴 생화를 조금만 준비해 가져가야 할듯 합니다
33,74579 아이스팩으로 인한 환경오염이 장난이 아닌데 생수병을 얼려서 아이스팩으로 대체한다고 하네요 이러면 아이스펙 내에 썩지 않는 겔 성분을 사용하지 않아도 되고 덕분에 환경오염도 덜되고 먹는 생수니까 마시면 되겠네요
34,판교에 있는 지역난방공사입니다 실제로는 공해가 아닌 단순한 연기일수도 있기는 한데요 사진찍을땐 보면 막 사진에서 보는 공장 돌릴때 나는 연기처럼 뭉개뭉개 올라가더라구요 허허 그래서 한번 찍어봤습니다 수증기라고 하네요ㅎㅎ
35,지구온난화와 환경오염으로 먹이도 짝짓기도 할수 없어 말라죽은 북극곰 사진이 환경의 중요성을 다시금 깨닫게 해줍니다 마음이 아프네요 2019110808033409329739159
36,티비에서 빨래비누나 식초로 머리 감으라고 캠페인도 나오고 했던 거 같은데 기억이 가물가물 하네요
37,환경오염없고 캠핑장에서 사용할 수 있는 비누는 없는건가요 인터넷에 아무리 검색해봐도 보통은 비누자체를 사용도 안하고 대부분 노지라서 싯는것도 물티슈로 해결하고 있는데 가끔 비누가 그리울때가 있더라고요 천연비누 환경오염없는 비누 정보좀 부탁드립니다
38,뉴스가 사실이라는걸 전제로 짱깨새끼들이 희토류 개발하면 그 지역 일대는 아주 환경오염 작살크리 맞을텐데 북한 새끼들도 정신 못차리네요
39,숨쉬는 것도 환경오염이라고 할 놈 반드시 구속영장은 기각돼야 합니다
40,20190927200029921 일본에서 후쿠시마 방사능 오염수를 바다나 대기중으로 버리겠다는데 이게 가능한 건가요 관련분야를 잘 몰라서 그런데 물론 2차 제거작업을 거치겠지만 환경오염에 아무런 영향이 없나요
41,풍선장이라고 화장한 애완동물 뼈가루를 퐁선에 넣어서 날리는건데 올라가다 터지면 뼛가루가 날리는 방식 아니 근데 이거 환경오염 아닙니까ㅋㅋ 특허까지 등록이 되어있음
42,8억 달러를 족쇄로 일본에 예속된 경제를 만들었고 일본 기업들 돈 벌어주는 용도로 이용되어 돈은 다시 일본으로 차관도 당시 국제 기준으로 봐도 고리였고 환경오염에 우리나라 중소기업은 일본 기업의 하청 구조로 진짜 욕 나오네요 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
43,전동킥보드도 이제 자전거전용도로 다닐수있다고 합니다 법안이 마련된다고 하네요 미세먼지가 많다보니 환경오염이 되지않는것을 많이 밀어주나봅니다 앞으로 전동쪽으로 많은 제품이 나얼것같네요
44,이거 신기하네요 근데 쓰잘데기 없는 기능같기도 하네요 거품 보니 환경오염도 심할 것 같고 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
45,음료 섭취할때마다 플라스틱 쓰레기 생산하고 각종 유해물질 무단 방류 산림파괴에 환경오염 진모리는 여의로 지형지물 파헤치
46,미세먼지 최악을 경험하면서 마스크 진짜 많이들 하고 다니시더라구요 앞으로는 더 심해진다 생각하니 진짜 걱정스럽네요 푸르른 산을 보는게 당연하다 생각했는데 점점 환경오염에 찌들리네요
