,명사,횟수
0,현행,12
1,소방,12
2,풍력,12
3,조사단,12
4,농장,12
5,증기,12
6,체제,12
7,동부,12
8,분기,12
9,융자,12
10,모색,12
11,부서,12
12,색도,12
13,고안,12
14,공부,12
15,추출,12
16,브랜슨,12
17,농어촌,12
18,감사원,12
19,성조숙증,12
20,근본,12
21,필리핀,12
22,베트남,12
23,기술원,12
24,질병,12
25,양평,12
26,수면,12
27,천변,12
28,문단,12
29,제초제,12
30,과일,12
31,기여금,12
32,사령부,12
33,상상,12
34,황제펭귄,12
35,꽃향기,12
36,판정,12
37,단말기,12
38,하동,12
39,순천만,12
40,박승기,12
41,초음속,12
42,콩코드,12
43,산재,11
44,전라남도,11
45,막,11
46,신체,11
47,부탁,11
48,충격,11
49,형,11
50,철,11
51,어른,11
52,얼굴,11
53,천만,11
54,지지,11
55,스마트폰,11
56,습관,11
57,사이트,11
58,척,11
59,경각심,11
60,미터,11
61,차수벽,11
62,토목,11
63,신경,11
64,연,11
65,분홍색,11
66,단어,11
67,하류,11
68,포럼,11
69,불안,11
70,확충,11
71,단장,11
72,철회,11
73,디엠,11
74,배치,11
75,조절,11
76,밀접,11
77,소수,11
78,날림,11
79,독자,11
80,정식,11
81,등지,11
82,교란,11
83,다수,11
84,방제,11
85,사단,11
86,봉사자,11
87,공감대,11
88,경영자,11
89,소프트,11
90,벤앤제리,11
91,모양,11
92,발간,11
93,안산,11
94,종료,11
95,보편,11
96,직장,11
97,식당,11
98,십,11
99,정원,11
100,폐사,11
101,위두,11
102,기상,11
103,공기업,11
104,선고,11
105,소파,11
106,테마파크,11
107,겁니다,11
108,예측,11
109,인용,11
110,무게,11
111,가을,11
112,작년,11
113,저하,11
114,폴리에틸렌,11
115,일각,11
116,사무소,11
117,스페인,11
118,시정,11
119,허브,11
120,빗물,11
121,중구,11
122,태백,11
123,농공,11
124,기타,11
125,분별,11
126,항,11
127,역학,11
128,대책위,11
129,익산시,11
130,특수,11
131,재조사,11
132,주체,11
133,브리더,11
134,사격장,11
135,개시,11
136,출입,11
137,분과,11
138,위해,11
139,크롬,11
140,과다,11
141,부여,11
142,선별,11
143,콜롬보,11
144,횟수,11
145,펀드,11
146,재고,11
147,전용,11
148,백화점,11
149,상자,11
150,언어,11
151,새,11
152,난방,11
153,황색,11
154,종사자,11
155,트리,11
156,하수구,11
157,과불,11
158,공립,11
159,유예,11
160,임업,11
161,함정,11
162,서해안,11
163,약품,11
164,작가,11
165,맘,11
166,합성섬유,11
167,기혼,11
168,포항시,11
169,성호,11
170,뉴델리,11
171,컨테이너선,10
172,아침,10
173,암호,10
174,이걸,10
175,이득,10
176,자살,10
177,본사,10
178,생성,10
179,아버지,10
180,음료,10
181,매수,10
182,결혼,10
183,금호,10
184,북극,10
185,해충,10
186,채소,10
187,형성,10
188,제목,10
189,업자,10
190,자산,10
191,르,10
192,가죽,10
193,ㅁ,10
194,해군,10
195,게임,10
196,코발트,10
197,타입,10
198,개도국,10
199,급여,10
200,텍,10
201,정수,10
202,콜,10
203,찌꺼기,10
204,공격,10
205,세제,10
206,빈부,10
207,경계,10
208,체중,10
209,게재,10
210,세포,10
211,사회단체,10
212,정체,10
213,항의,10
214,지식,10
215,실무,10
216,모임,10
217,비난,10
218,그때,10
219,체류,10
220,덩어리,10
221,사이언스,10
222,당국자,10
223,원유,10
224,영,10
225,최신,10
226,저유,10
227,흙,10
228,알루미늄,10
229,난지,10
230,물재,10
231,취득,10
232,관광지,10
233,연합회,10
234,해법,10
235,총리,10
236,둘,10
237,겨울철,10
238,금강,10
239,제련,10
240,인지,10
241,한화,10
242,전공,10
243,부천,10
244,식사,10
245,주일,10
246,이벤트,10
247,신발,10
248,국산,10
249,합격,10
250,부장,10
251,구멍,10
252,송,10
253,훈련,10
254,여의도,10
255,군민,10
256,회화,10
257,테스트,10
258,비즈니스,10
259,원장,10
260,예전,10
261,일산,10
262,작용,10
263,개스,10
264,직후,10
265,이틀,10
266,얼음,10
267,공모전,10
268,가짜,10
269,마장면,10
270,불꽃,10
271,페이스북,10
272,얼마,10
273,서버,10
274,부작용,10
275,혐오,10
276,집회,10
277,학년,10
278,하절기,10
279,삭감,10
280,창구,10
281,발송,10
282,위주,10
283,유용,10
284,원주시,10
285,태도,10
286,목포시,10
287,유조선,10
288,인도네시아,10
289,발병,10
290,게티,10
291,유전자원,10
292,전시회,10
293,수세미,10
294,갤럭틱,10
295,해양수산부,10
296,퇴적물,10
297,이메일,10
298,대다수,10
299,날씨,10
300,철강업,10
301,함유량,10
302,밑,10
303,계획서,10
304,축제,10
305,지침,10
306,파리,10
307,하위,10
308,입수,10
309,공병단,10
310,육골,10
311,즙,10
312,용어,10
313,엠,10
314,소유,10
315,특대,10
316,주둔군,10
317,공법,10
318,잎,10
319,획득,10
320,용화,10
321,나리,10
322,무상,10
323,권고,10
324,롯데슈퍼,10
325,그리니,10
326,가입,10
327,보상금,10
328,파주시,10
329,증명,10
330,보조,10
331,지원금,10
332,한림원,10
333,해수면,10
334,침대,10
335,동원,10
336,영농,10
337,둘레길,10
338,프록시,10
339,방구,10
340,벙커,9
341,질산,9
342,담배,9
343,재앙,9
344,가속,9
345,조화,9
346,텐데,9
347,가루,9
348,포인트,9
349,지분,9
350,곡물,9
351,원자재,9
352,홍수,9
353,상한가,9
354,멸망,9
355,옹호,9
356,너,9
357,디젤,9
358,이래,9
359,해체,9
360,편안,9
361,채널,9
362,마트,9
363,외교,9
364,영향력,9
365,무산,9
366,자랑,9
367,군대,9
368,건담,9
369,이재명,9
370,착취,9
371,키,9
372,고형,9
373,승소,9
374,토종,9
375,대중,9
376,근원,9
377,저지선,9
378,대산,9
379,그루,9
380,강달호,9
381,라인,9
382,연평균,9
383,천식,9
384,신생아,9
385,성인,9
386,배설물,9
387,저널,9
388,염증,9
389,네트워크,9
390,추위,9
391,파손,9
392,그린,9
393,두산,9
394,수천,9
395,맥주,9
396,톨루엔,9
397,보수,9
398,원격,9
399,동결,9
400,국적,9
401,메,9
402,지불,9
403,민속,9
404,진동,9
405,뒷받침,9
406,호흡,9
407,키트,9
408,생선,9
409,고양시,9
410,어부,9
411,수심,9
412,봉,9
413,부회장,9
414,변환,9
415,개혁,9
416,주유소,9
