,0
0,롯데케미칼.화학.폐플라스틱. 재활용 등 최근 적극적 행보근본적 해결책은 안 돼.친환경. 활동으로 볼 수 없다
1,는 지적도 롯데케미칼의 .재생 폴리에틸렌.소재 제품 포장백. 롯데케미칼 제공 환경오염의 주범으로 꼽히던 화학업계가 친환경 행보에 적극 나서고 있다
2,. 환경에 악영향을 미치던 플라스틱 등을 생산해온 업체들이 이제는 환경.사회.지배구조 경영에 발맞춰 .폐플라스틱. 재활용 방안을 속속 내놓고 있다
3,. 환경부에 따르면 지난해 한국의 폐플라스틱 배출량은 하루 평균 .으로 전년 대비 . 증가했고 폐비닐 배출량도 전년 대비 . 늘었다
4,. 롯데케미칼은 폐플라스틱 재활용 소재를 활용한 친환경 포장재를 자체 개발해 자사 제품 포장에 적용했다
5,고 .일 밝혔다
6,. 롯데케미칼은 고객사로부터 사용 후 버려지는 폴리에틸렌 소재 폐포장재를 회수하고 재활용 공정을 거쳐 .재생 폴리에틸렌.을 제조했다
7,. 재생 폴리에틸렌은 약 . 비중으로 친환경 포장재 제조에 투입된다
8,. 롯데케미칼은 사용 후 폐기되는 폴리에틸렌 포장재를 재활용하기 위해 올해 초부터 연구.개발을 해왔고 고객사 협조를 받아 친환경 포장재 개발에 성공했다
9,고 설명했다
10,. 롯데케미칼은 현재 여수공장에서 생산하는 월 . 상당의 내수용 고밀도 폴리에틸렌 제품에 친환경 포장재를 시범 적용 중이며 연말까지 적용 제품을 늘려 월 .만. 물량에 사용할 계획이다
11,. 화학은 지난달 기자간담회를 열어 친환경 소재 개발 사업과 폐플라스틱 재활용 사업 등에 .조원을 투자한다
12,고 밝히고 친환경 프리미엄 통합 브랜드 .렛제로.를 출범시켰다
13,. 버려진 플라스틱을 재활용한 제품이나 식물성 원료로 만든 친환경 제품에 렛제로 마크를 단다
14,. 또 스타트업 .이너보틀.과 협업해 하반기부터 화장품 용기 플라스틱을 . 재활용하는 구조를 구축한다
15,. .년부터는 생분해성 플라스틱도 양산할 예정이다
16,. 이노베이션도 자사 .그린 성장 전략.에 따라 플라스틱 재활용 방안을 내놓고 있다
17,. 이노베이션의 자회사 종합화학은 지난달 깨끗한나라 팩과 업무협약을 체결하고 재활용 플라스틱을 . 이상 적용한 .친환경 포장재 개발.에 나섰다
18,. 지난 .일에는 케미칼이 제주삼다
19,수 페트병을 전량 회수한 뒤 이를 화장품 용기나 섬유 가전에 사용하는 원료로 제작하겠다
20,고 밝혔다
21,. 도 폐플라스틱 열분해유 사업화를 위해 일본 업체와 지난 .월 업무협약을 체결하고 생분해 플라스틱 소재 사업의 확대 방안을 구체화하고 있다
22,. 미국 환경 컨설팅 기업 에 따르면 페트 소재의 플라스틱을 재활용하면 온실가스 배출량을 .까지 줄일 수 있다
23,. 화학업계의 재활용 시도를 두고 긍정적 평가가 나오는 이유다
24,. 그러나 아직은 갈 길이 멀다
25,. 환경단체 그린피스의 보고서를 보면 한국에서 배출되는 폐플라스틱 재활용 비율은 .에 불과하다
26,. 화학업계의 플라스틱.비닐 재활용을 .친환경.으로는 볼 수 없다
27,는 지적도 나온다
28,. 근본적 해결책이 아니기 때문이다
29,. 허승은 녹색연합 녹색사회팀장은 .폐기물 문제를 해결하려면 관련 제품의 생산량부터 줄여야 한다
30,.고 말했다
31,.다
32,경북도는 올해부터 .개 시.군 소규모 사업장 .곳에 환경오염 방지시설 유지 및 관리비용을 지원한다
33,고 .일 밝혔다
34,. 경북도청사 전경.백경열 기자 . 지원대상은 대기환경보전법과 물환경보전법 등에 따라 신고를 마친 .종 사업장이다
35,. 도는 신청서를 제출한 사업장을 심사해 업체당 최대 .만원을 지원할 예정이다
36,. 선정된 곳은 방지시설 종류에 따라 활성탄 여과필터 응집제 등 소모품 교체비용을 지원받는다
37,. 또 각 사업장 담당자를 대상으로 배출시설과 방지시설의 운영.관리에 필요한 교육도 이뤄진다
38,. 최영숙 경북도 환경산림자원국장은 .이 사업이 환경오염물질 배출량을 줄이는 데 크게 기여할 것으로 기대한다
39,.면서 .또 소규모 사업장 등지에서의 환경오염 사고를 막는 데에도 효과가 있을 것으로 본다
40,.고 말했다
41,.다
42,환경과학원 잎이 흡수한 오염물질 측정.내년 시범 실시 주변에서 쉽게 볼 수 있는 .솔잎.으로 대기오염도를 측정할 수 있는 방법이 마련됐다
43,. 나뭇잎이 호흡을 하는 과정에서 납 등 대기오염물질이 흡수돼 쌓이는 원리를 이용한 것이다
44,. 환경부 소속 국립환경과학원은 솔잎을 이용해 대기오염도를 측정하는 표준화 연구 기반을 마련했다
45,고 .일 밝혔다
46,. 솔잎을 이용한 대기오염도 측정 방법은 간단하다
47,. . 이상의 .년생 솔잎을 채취한 뒤 초저온 상태에서 분쇄 오염물질을 측정할 수 있도록 균질화 및 전처리 작업을 한다
48,. 이후 전문 분석기기를 이용하면 솔잎이 호흡을 하는 과정에서 흡수되고 쌓인 납 카드뮴 크로뮴 다
49,환방향족탄화수소류 등 오염물질을 측정할 수 있다
50,. 솔잎은 계절과 상관없이 채취할 수 있고 우리 주변에서 비교적 쉽게 볼 수 있는 식물이어서 별도 측정기를 가져갈 수 없거나 대기오염측정소가 없었던 지역의 오염농도 측정을 가능하게 할 것으로 보인다
51,. 국립환경과학원은 내년부터 이 같은 방식을 이용한 대기오염도 측정을 시범적으로 실시할 예정이다
52,. 유명수 국립환경과학원 환경자원연구부장은 .솔잎 시료뿐 아니라 환경시료은행에 기반한 다
53,양한 생물 환경지표를 개발해 대기와 수질 토양 등 환경오염물질 측정에 적극적으로 활용할 계획.이라고 밝혔다
54,.다
55,.휴온스그룹 지주사 휴온스글로벌은 .년 연결 기준 매출 .억원 영업이익은 .억원을 기록했습니다
56,. 전년 대비 각 . . 증가한 실적입니다
