언론사,제목,내용
국민일보,"㈜리빙라이프, 바른 먹거리 인식 위한 ‘어린이 견학’ 프로그램 운영","사진 - ㈜리빙라이프 임직원 및 어린이 체험단
건강 먹거리 전문기업 ㈜리빙라이프(대표 김영환)가 지난 8일 사회공헌 및 나눔 행사의 일환으로 해외 파견 선교사들의 자녀들을 초청해 본사 견학 및 체험의 자리를 마련했다.이 날 행사에는 30명의 아이들이 참석했다. 리빙라이프는 장차 진로에 대한 고민과 선택에 도움이 될 수 있도록 아이들의 눈높이에 맞춰 회사와 조직, 직업, 직군 등 회사를 구성하고 있는 다양한 분야의 교육자료 등 정보를 제공했다.또한 아이들의 올바른 먹거리 인식 제고를 위한 프로그램도 함께 운영됐다. 공장 견학을 통해 ㈜리빙라이프의 제품들이 기획단계부터 어떠한 과정을 거쳐 완제품 생산에 이르게 되는지 등 아이들에게 생생한 체험의 기회를 제공했다.사진 - 바른 먹거리 강의 진행 중인 ㈜리빙라이프 김영환 대표㈜리빙라이프 김영환 대표는 “우리 회사는 직접 사람들이 먹는 제품을 생산해서 판매하는 회사인 만큼 사람에 대한 소중함을 가장 중요하게 생각한다”며 “장차 우리나라를 이끌어 갈 아이들에게 생존의 가장 기본인 먹거리가 얼만큼 소중하고 유용하고 가치가 있는 것인지, 어떠한 마음으로 우리가 음식들을 대해야 하는지에 대한 올바른 인식을 심어주기 위해 노력했으며 장차 식품 관련 업에 종사할 아이들이 오늘의 체험을 오랜 시간 기억할 수 있길 바란다”고 전했다.이어 행사의 실무를 총괄한 두한승 본부장은 “리빙라이프는 기업의 사회적 역할과 책임에 대해 고민하는 기업으로 우리가 생산하는 건강 먹거리를 통해 국민의 건강과 안전을 책임진다는 사명감으로 27년을 달려왔다”며 “앞으로도 불우이웃이나 소외계층에 대한 봉사와 나눔을 통해 먹거리의 소중한 가치를 전달하고자 노력할 것”이라고 말했다.한편 ㈜리빙라이프는 곡물 원료 가공부터 현대인의 건강 간편식인 뮤즐리, 씨리얼, 그래놀라,플레이크 등을 생산하는 식품 제조 기업으로 풀무원, 이마트 등의 OEM 제품뿐만 아니라 자사 브랜드인 뉴트리그랩을 생산하고 있다. 뉴트리그랩의 대표 상품인 잇어미닛, 리얼밸런스, 붓기차 비우비우 등은 국내 뿐만 아니라 해외로도 수출되고 있으며 시장에서 소비자들로부터 호평을 얻고 있다.디지털기획팀 이세연 lovok@kmib.co.kr
					
					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
국민일보,풀무원 ‘바른먹거리 교육’ 참가자 8년 만에 10만명 돌파,"풀무원은 어린이들에게 바른 식습관을 길러주는 ‘바른먹거리 교육’ 참가자가 2010년 시작 이후 8년 만에 10만명을 넘어섰다고 1일 밝혔다(사진). 풀무원의 바른먹거리 교육은 지난 6월 말까지 8년간 총 4227회 실시됐다. 그동안 6∼7세 미취학 아동과 초등학생, 학부모 등 10만1385명이 교육을 받았다. 교육은 식품표시확인, 미각, 영양균형 등 3가지 교육과정이 체계적으로 구성돼 있다.  지난해 교육을 받은 1만579명의 초등학생과 494명의 교사를 대상으로 조사한 결과 학생의 90%, 교사의 99.6%가 교육에 만족한다고 답했다. 참가자들은 교육을 받은 뒤 식품표시를 잘 살펴보게 됐으며, 영양균형과 미각에 대해 제대로 알게 돼 바른 식습관 형성에 도움이 됐다는 소감을 밝혔다고 풀무원 측은 전했다. 김혜림 선임기자 mskim@kmib.co.kr

					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
국민일보,"바른먹거리 캠페인 확대…  풀무원, 2만여명에 무상교육","풀무원이 ‘바른먹거리 캠페인 교육’을 올해 전국으로 확대해 2만여 명 이상에게 무상 교육을 실시한다. ‘바른먹거리 캠페인 교육’은 어린이의 올바른 식습관 형성을 위해 풀무원이 2010년부터 무상으로 실시하고 있는 먹거리 조기 교육 프로그램이다. 풀무원은 지난해 1만7000여 명을 교육하는 등 6년 동안 2138회에 걸쳐 4만9402명에게 교육을 실시했고, 2020년까지 10만 명 교육을 목표로 하고 있다.‘바른먹거리 캠페인 교육’은 작년까지 서울, 인천, 경기 등 수도권 지역 중심으로 실시해 왔으나 올해부터 부산 등 전국 광역시까지 교육 지역을 확대하고, 총 800회에 걸쳐 약 2만여 명에게 무상 교육을 실시할 예정이다. 모든 교육은 ‘오감(五感)’ ‘소통’ ‘재미’를 바탕으로 유치부, 초등학생, 학부모를 위한 맞춤 체험 프로그램으로 구성해 바른먹거리를 더욱 쉽고 재미있게 접하고, 즐겁게 참여할 수 있도록 했다. 유치부(6∼7세) 교육은 60분씩, 총 2회(120분)로 나눠 ‘영양균형편’과 ‘미각교육편’을 진행한다.어린이의 눈높이에 맞춰 바른먹거리 송과 함께 율동을 가르치고 보드게임과 팝업북으로 구연동화를 들려주는 등 아이들이 즐겁게 바른먹거리 교육에 참여할 수 있도록 구성했다. 또 미각교육을 위해 오감을 활용하여 식재료를 맞추는 사물탐구게임과 어린이들이 제철 식재료를 활용해 직접 요리하고 맛보는 실습교육도 실시한다. 풀무원재단 이지영 CSR 담당은 “올해 부산지역의 확대 실시를 계기로 온 국민의 올바른 식습관 형성을 책임지는 공익 캠페인으로 성장하기 위한 저변을 확대, 2020년까지 일명 ‘바른먹거리 지킴이’를 10만 명까지 확대하겠다”라고 말했다. 조규봉 기자 ckb@kukinews.com

					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
국민일보,풀무원 바른먹거리 캠페인  울릉도서 무료 실시…  물 환경교육도 병행,"풀무원의 대표적인 CSV(공유가치창출) 활동인 ‘바른먹거리 캠페인’ 교육이 울릉도에서 실시됐다. 풀무원은 지난 2일 울릉도에 위치한 도동유치원 어린이 46명을 대상으로 바른먹거리 교육을 실시했다. 서울, 수도권 지역 중심으로 진행되어온 바른먹거리 교육이 도서지역인 울릉도까지 확대, 실시된 것은 이번이 처음이다. 이번 교육은 지난 5월 ‘쥬니어네이버’와 함께 개최한 ‘바른먹거리 율동 대회’ 우수상 수상팀인 도동유치원 어린이들에게 주어지는 포상의 일환으로 무료 진행됐다. 풀무원은 울릉도 도동유치원 교육을 포함해 ‘바른먹거리 율동 대회’ 수상팀 12개 어린이집을 대상으로 9월 15일까지 총 21회에 걸쳐 교육을 진행했다. 울릉도 바른먹거리 교육은 2일 오전 도동유치원에서 연령별로 나눠 각 60분간 2회 진행됐다. 5∼7세 어린이의 눈높이에 맞춰 ‘영양균형 보드게임’을 하고, 팝업 동화인 ‘콩채요정 도와줘’를 들려줌으로써 즐겁게 참여할 수 있도록 프로그램으로 구성됐다. 풀무원은 바른먹거리 교육에 앞서 9월 1일 울릉초등학교 6학년 전교생 18명을 대상으로 물 환경 교육인 프로젝트 ‘WET(Water Education for Teachers)’을 실시했다. ‘프로젝트 WET’은 물의 중요성과 물 환경보존의 필요성을 알리기 위한 세계적인 물 교육 프로그램으로 풀무원은 2013년부터 지금까지 3년간 약 5000여 명에게 교육을 실시한 바 있다. 풀무원재단 CSR 이지영 담당은 “우리나라의 대표적 조기 식생활교육인 ‘바른먹거리 캠페인’ 교육을 도서지역인 울릉도까지 실시하게 되어 더욱 큰 보람을 느낀다”며 “앞으로도 교육을 전국적으로 점차 확대해 나가 어린이들의 올바른 식습관 형성에 일조해 나가겠다”라고 말했다. 최민지 기자 freepen07@kukinews.com

					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
국민일보,"풀무원 ‘바른먹거리 캠페인’, 어린이에게 올바른 식생활 습관 교육","“바른먹거리 교육을 통해 ‘내가 먹는 음식’에 대해 생각해 보고, 골라 먹는 방법에 대해 학습할 수 있는 매우 유익한 시간이었습니다.”(바른먹거리 교육 후기 중)풀무원의 ‘바른먹거리 캠페인’이 어린이들에게 올바른 식습관을 형성하는 대표적인 먹거리 조기교육 프로그램으로 자리를 잡고 있다. 지난 2011년 풀무원은 바른먹거리 캠페인을 전개한 후 매년 교육하는 횟수 및 교육을 받는 어린이들이 늘어나면서 대한민국 대표 먹거리 교육 프로그램으로 자리매김했다.바른먹거리 캠페인은 어린이들이 어릴 적부터 올바른 식생활 습관을 형성할 수 있도록 아이들을 직접 찾아가 가르치는 먹거리 조기 교육 프로그램이다. 안전한 식품을 제조하는 것뿐만 아니라 올바른 먹거리에 대한 소비자 인식을 높여나가는 것 역시 식품기업이 당연히 해야 할 사회적, 공익적 책임이라는 생각에서 시작됐다.2013년 바른먹거리 캠페인 교육은 서울과 경기, 대전, 강원 지역에서 진행되며 어린이와 학부모, 교사 등 7000여명을 대상으로 1년 동안 350회에 걸쳐 실시된다. 6∼7세의 유치부 아동과 초등학교 3∼4학년 어린이, 학부모와 자녀가 함께 참가하는 교육이 연중(3∼6월, 9∼11월) 진행되고, 학부모와 초등학교 교사를 대상으로 한 교육이 하반기(9∼11월)에 진행된다.교육은 8차에 나눠 진행되며, 신청 및 교육일정 등 자세한 내용은 비영리사단법인 푸드포체인지 홈페이지(foodforchange.or.kr)에서 확인할 수 있다. 모든 교육 프로그램은 연령별 눈높이에 맞게 재미있게 참여할 수 있도록 기획됐다. 조규봉 기자

					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
국민일보,"풀무원, ‘농장 바른먹거리 캠프’ 참가자 모집","[쿠키 건강] 풀무원이 새 봄을 맞아 엄마와 아이가 함께하는 ‘풀무원 농장 바른먹거리 캠프’ 참가자를 모집한다.충북 괴산에 위치한 ‘풀무원 농장’에서 1박 2일 동안 진행되는 이번 캠프는 ‘바른먹거리에 우리아이의 미래가 있다’는 풀무원의 철학을 바탕으로 자라나는 우리 아이들에게 로하스 생활 체험을 통해 바른 식습관의 중요성과 자연의 소중함을 배워볼 수 있는 기회를 제공하기 위해 마련된 행사다. 4월 30일까지 풀무원 홈페이지를 통해 아이와 함께 바른먹거리 캠프에 참가하고 싶은 사연을 남겨 참가신청 할 수 있으며 4세부터 10세까지의 자녀를 둔 엄마라면 누구나 응모 가능하다.엄마와 아이 총 80명을 선발할 예정이며 선발된 참가자 중 초등학교 입학 전 유아를 둔 엄마와 아이 40명은 5월 8일부터 9일까지, 초등학교 저학년 아이를 둔 엄마와 아이 40명은 5월 22일부터 23일까지 ‘풀무원 농장 바른먹거리 캠프’에 참여하게 된다. 국민일보 쿠키뉴스 조규봉 기자 ckb@kmib.co.kr
					
					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
국민일보,"풀무원, 어린이 바른먹거리 체험교육 참가자 모집","[쿠키 건강] 초등학교 여름방학을 맞아 충북 음성 풀무원 두부공장을 돌아보는 ‘풀무원과 떠나는 우리아이 피크닉’을 실시키로 하고 대상자를 모집한다고 13일 밝혔다.‘풀무원과 떠나는 우리아이 피크닉’은 서울에서 출발, 풀무원 음성두부공장을 방문하는 1일 체험 프로그램으로 보호자를 동반한 초등학교 4~6학년 어린이를 대상으로 하고 있다. 어린이 공장견학은 오는 26일과 28일 총 2회 진행되며 초등학교 4~6학년 어린이 1명과 보호자 1인이 한 팀을 구성해 참가하면 된다. 한 회당 17팀을 선발하며 참가비는 무료다. 20일까지 풀무원 홈페이지(www.pulmuone.co.kr)를 통해 참가신청을 받아 21일 당첨자를 발표할 계획이다.풀무원홀딩스 박승필 홍보팀장은 “어린이들이 체험 활동을 통해 자연스럽게 바른먹거리와 환경의 중요성에 대해 배워볼 수 있도록 어린이 견학 프로그램을 특별 기획했다”며 “학기 중에는 좀처럼 할 수 없는 살아 있는 현장 체험의 기회로 방학을 맞은 어린이들에게 좋은 추억이 될 것으로 기대한다”고 전했다. 국민일보 쿠키뉴스 조규봉 기자 ckb@kmib.co.kr
					
					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
국민일보,먹거리·건강관리 접목한 신사업… 풀무원 ‘토털 라이프 케어’ 도전,"‘바른먹거리’ 캠페인으로 올바른 식습관의 중요성을 강조해 온 풀무원이 먹거리와 운동 프로그램을 결합한 신사업에 나선다. 풀무원은 업계 최초로 바른먹거리와 건강생활 관리를 접목한 ‘토털 라이프 케어 서비스’를 선보인다고 4일 밝혔다. 풀무원 계열 생활서비스 전문기업 이씨엠디가 맡게 되는 신사업은 경기도 성남시 수정구에 위치한 ‘위례 자연앤래미안e편한세상’ 커뮤니티 시설 내 ‘웰니스센터’와 ‘자연을 담은 식탁’을 대상으로 진행된다. 헬스장과 골프장, 독서실, 도서관, 사우나 등으로 구성된 웰니스센터에서는 운동 외에 스트레스 관리와 숙면 등 건강한 생활습관을 위한 프로그램도 제공한다. 신체 건강뿐 아니라 정서까지 돌본다는 취지다. 센터 내 퍼스널 트레이너는 풀무원 이씨엠디가 직접 고용했다. 외식 매장인 ‘자연을 담은 식탁’(사진)에서는 풀무원이 진행하고 있는 바른먹거리 식생활 원칙 ‘2·1·1’ 식단이 제공된다. 한국인의 식생활과 영양 균형을 고려해 채소와 단백질, 통곡물을 2대 1대 1 비율로 맞춰 고안해낸 것이다. 입구에는 치약이 비치된 ‘치카치카존’을 만들어 식사 후 양치하는 위생 습관을 유도한 것이 특징이다. ‘알맞은 밥 양 맞추기’ ‘미각 테스트’ 등 식습관 개선 교육도 진행된다. 이씨엠디는 위탁급식을 시작으로 쇼핑몰과 백화점, 호텔, 공항 내 식음 시설을 위탁 운영해 오고 있다. 하지만 입주민을 대상으로 고정적인 서비스를 하는 것은 처음이다. 그동안 풀무원은 어린이 2만2000명에게 게임과 실험 형태를 통해 식품 표시 사항에 대한 정보를 전달하는 등 ‘바른먹거리’ 캠페인을 벌여 왔다. 또 학부모를 대상으로 하는 ‘로하스 식생활 교육’ 등을 통해 올바른 식단 관리와 식사법의 중요성을 강조해 왔다. 이번에는 단순 캠페인에 그치지 않고 식습관 개선의 지속적인 변화를 관찰하고 건강관리를 하는 통합 솔루션을 제공해 새 먹거리로 육성하겠다는 것이다. 풀무원 이씨엠디 관계자는 “기업의 이익 추구를 넘어 ‘건강과 환경의 지속 가능성을 추구하는 생활방식(로하스)’을 소비자들에게 알리기 위해 도입했다”고 말했다.김유나 기자 spring@kmib.co.kr

					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
국민일보,“겨울을 이기자” 풀무원이 제안하는 먹거리,"겨울철 날씨가 추워지면 급격한 온도변화로 인해 우리 몸은 신진대사와 면역력이 떨어지게 된다.이 때문에 많은 전문가들은 건강한 겨울나기를 위해서는 꾸준한 운동과 함께 건강관리를 위한 먹거리의 선택이 중요하다고 강조하고 있다.바른 먹거리 식품업체 풀무원은 몸에 영양 균형을 맞출 수 있는 건강한 겨울나기 음식들을 소개하고 있다.먼저 겨울이 되면 실내외 기온차가 커지고 운동량 부족으로 소화불량에 걸리는 사람이 많다. 이는 낮아진 기온은 물론 추위 그 자체가 스트레스로 작용해 위장의 소화능력이 저하되면서 자연스레 소화불량으로 이어지기 때문이다.겨울철에는 따뜻한 실내에서 몸은 녹인 후 식사를 한 뒤 30분 후 정도 가벼운 스트레칭, 걷기, 산책 등으로 몸을 움직여 주는 것도 소화를 촉진시키는 데 도움이 된다. 또 낫토, 양배추, 브로콜리 등과 같은 음식 섭취도 중요한데, 특히 김치 요구르트 올리브유 등과 함께 세계 5대 건강식품 중 하나로 꼽히는 낫토는 정장 작용을 돕는 유효균이 1g에 10억 마리 이상 들어 있어 변비 예방에 효과적이다. 또 내장에 피로가 쌓이는 것을 방지하고 피로회복에 좋은 비타민 B2가 풍부하게 들어 있어 면역력 강화에도 좋다.◇면역력 강화·임산부에게 좋은 엽산= 엽산이 부족하면 식욕이 없어지고 면역력이 떨어지면서 입안이 허는 ‘입병’ 즉 구내염으로 고생하는 경우가 생겨 엽산을 부족하지 않게 섭취하는 것이 필요하다. 특히 엽산이 부족하면 조산하거나 기형아가 태어날 확률이 높아 임신을 준비하거나 출산을 앞둔 여성은 반드시 섭취해야 하는 필수 비타민이다. 엽산은 어린이 성장과 인지능력 발달, 정자의 유전자 결함을 줄이는 데도 도움을 주는 것으로 알려져 있다. 엽산은 시금치 브로콜리 등 그린푸드에 많지만 조리 시 다량 소실되고 일부만 섭취된다. 하지만 달걀노른자에 들어 있는 천연엽산의 경우 조리과정에서의 소실률이 낮아 달걀은 엽산급원식품으로 안성맞춤이다.◇아이를 위한 제철과일= ‘아침에 먹는 사과는 금’이라는 말이 있을 만큼 건강에 좋은 사과는 식이섬유가 많아 다이어트에도 도움을 주는 대표적인 웰빙 식품이다. 특히 최근 제철을 맞은 사과는 사과파이, 사과샐러드, 사과탕수육 등 아이들의 영양 간식 재료로도 많이 사용되고 있어 인기다.조규봉 쿠키뉴스 기자

					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
국민일보,"풀무원, ‘바른먹을거리 캠페인’ 전개","[쿠키 건강] 풀무원은 중장기 사회공헌 프로그램으로 어린이들에게 올바른 식생활 습관을 형성해주기 위한 ‘바른먹을거리 확인 캠페인’을 시민단체와 함께 대대적으로 전개키로 했다..풀무원은 16일 서울 강동구 고일초등학교에서 풀무원식품 이효율사장과녹색소비자연대 이덕승대표, 고일초교 김영임교감이 참석한 가운데  ‘바른먹을거리 확인 캠페인’ 운영에 대한 협약식을 갖고 캠페인을 전개하기로 했다고 17일 밝혔다.협약식을 통해 풀무원은 녹색소비자연대와 함께 올해 연말까지는 고일초교 등 서울시내 시범학교 3곳에서 식품표시, 첨가물, 영양성분 및 식품이력제를 주제로 기초교육을 진행하기로 했다. 2011년에는 대상 초등학교를 25개교로 확대 운영하기로 했다. 풀무원은 향후 바른 식습관 형성을 위한 ‘학교급식 교육’, 친환경 농산물 이해를 돕는 ‘농장 교육’ 등 다양한 프로그램을 도입해 운영할 계획이다. 풀무원식품 이효율 사장은 “이제는 안전한 식품을 제조하는 것뿐 아니라 올바른 먹을거리에 대한 소비자 인식을 높여나가는 것 역시 식품기업으로서 당연히 맡아야 할 사회적, 공익적 책임이다”며 “이번 캠페인을 통해 어린이들이 바른먹거리에 대한 개념을 정립하고 식품표시확인을 습관화할 수 있도록 도와줌으로써 우리 사회의 올바른 식생활 문화 확립의 기초를 마련해 나갈 것”이라고 전했다. 국민일보 쿠키뉴스 조규봉 기자 ckb@kmib.co.kr
					
					GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
