언론사,제목,내용
문화일보,"풀무원, 어린이 바른 먹거리 교육 ‘블렌디드 교육’ 실시","
수업 집중도 높아 전국으로 확대 방침

풀무원은 어린이 바른 먹거리 교육을 온라인 콘텐츠로 개발해 기존 오프라인 교육과 병행하는 ‘블렌디드(Blended) 교육’을 실시한다고 11일 밝혔다. 풀무원재단은 지난 2010년부터 진행해온 국내 대표 어린이 조기 식습관 교육인 ‘어린이 바른먹거리 교육’을 온라인 교육방식에 최적화해 무상으로 실시하기로 했다. 바른먹거리 온라인 교육은 지난달 본격 시작됐으며, 사회적 거리두기 완화로 방문교육이 가능한 초등학교는 종전처럼 오프라인 교육도 진행하고 있다.

온라인 바른먹거리 교육은 식문화교육 전문 사단법인 ‘푸드포체인지’ 홈페이지(foodforchange.or.kr)를 통해 신청할 수 있다. 교육 대상 학급으로 선정되면 풀무원재단이 교육에 필요한 교재와 활동 키트를 학교로 배송해 각 가정으로 사전 배부되도록 한다.

1교시 영양균형과 미각교육, 2교시 식품 표시 확인 교육으로 총 50분이며, 화상회의 플랫폼 줌(Zoom)을 통해 실시간으로 진행된다. 식생활 전문 교육 강사 ‘푸듀케이터(Food+Educator)’와 학생들이 채팅, 발표 등의 방법으로 쌍방향 소통한다.


감각과 호기심을 자극하는 여러 프로그램 덕분에 아이들의 수업 집중도도 매우 높다는 평가다. 재단의 초등학생 교육 중 70%가 온라인으로 신청되고 있다.

풀무원재단은 그동안 강사 수급 등의 제약으로 서울 수도권, 부산 지역에서만 가능했던 교육을 전국으로 확장하고 있다. 방문 교육이 어려웠던 경남 거제도에도 교육할 수 있을 정도로 확장 측면에서 기대 이상의 긍정적 효과를 낳고 있다.

김유별 풀무원재단 생활습관교육 사업담당은 “신종 코로나바이러스 감염증(코로나19) 사태 이후 바른 식습관과 생활습관으로 스스로 건강을 챙겨야 한다는 인식이 매우 높아졌다”며 “특히, 면역력이 약한 아이들이 온라인으로 바른 습관 교육을 받고 실천하여 건강한 일상을 나는 데 도움이 되기를 바란다”고 말했다. 

임대환 기자
"
문화일보,"풀무원 올가홀푸드, 농림부 장관상 수상","
친환경 농산물 유통 및 소비 촉진에 공로

풀무원은 계열인 올가홀푸드 강병규 대표가 친환경 농업 발전에 기여한 공로를 인정받아 농림축산식품부 장관 표창을 수상했다고 5일 밝혔다. 강 대표가 친환경 식품 전문 유통기업의 대표로서, 친환경농산물 유통 및 소비 촉진을 통한 산업 발전에 이바지한 공로를 인정받았다고 올가홀푸드는 설명했다.

올가홀푸드는 1981년 국내 최초의 유기농 전문점으로 출범한 이후, 친환경 바른 먹거리를 선도적으로 선보이고 있는 친환경 식품 전문 유통기업이다. 전 제품은 친환경 재배 식품 우선 취급, 유전자 변형 및 식품첨가물 함유 제품 배제, 생산 이력 관리 등의 엄격한 상품 취급 기준을 통해 선별된다.

환경친화적 매장 운영도 확대하고 있다. 매월 전 직영점의 전력과 연료 사용량을 기록 관리하고, 고효율 LED 조명, 냉기유출을 막는 냉장설비 구축 등을 통해 온실가스 저감을 실천하고 있다고 올가홀푸드는 밝혔다.

강 대표는 “올가홀푸드는 창립 이래 신뢰와 정직을 바탕으로 생산부터 유통에 이르는 전 단계에서의 환경을 생각한 운영으로 소비자들에게 사람과 지구에 모두 이로운 지속가능성 상품을 선보이는 데 앞장서 왔다”며 “앞으로 친환경 식품 분야를 선도하는 기업으로서 친환경 농가와의 상생, 지역사회에 기여, 지속가능한 상품의 지속적 확대, 환경친화적 매장 운영 등을 통해 친환경 유통 선도기업으로서 지속가능 경영을 이어나갈 예정이다”고 말했다. 

임대환 기자
"
문화일보,풀무원 ‘바른먹거리 캠페인’ 확대,"
				  풀무원의 ‘바른먹거리 캠페인’이 대표적인 어린이 먹거리 조기 교육 프로그램으로 자리매김하고 있다. 

12일 유통업계 등에 따르면 풀무원은 올해로 4년째 사단법인 푸드포체인지(foodforchange.or.kr) 등과 바른먹거리 캠페인을 진행하면서 교육 대상을 대폭 확대하고 있다. 바른먹거리캠페인은 미취학 아동과 초등학생이 실험과 놀이를 통해 기호식품의 영양성분과 첨가물, 유통기한 등 각종 정보를 자연스럽게 인지할 수 있도록 돕는 교육 프로그램이다.

풀무원은 2010년 시범교육을 시작으로 지난해까지 총 1만454명의 어린이를 대상으로 모두 511회에 달하는 교육을 진행했다. 

올해에는 이를 대폭 확대해 7000여 명을 대상으로 350회에 걸쳐 교육을 실시한다. 특히 대상을 어린이집 및 초등학교 교사, 학부모 등으로 확대하고 연령별 맞춤 교육도 제공한다.

시민단체 관계자는 “바른먹거리 캠페인은 식품 정보의 사각지대에 방치될 우려가 있는 어린이에게 스스로 식품 정보를 확인하고 판단할 수 있게 돕고 있다”면서 “어른도 낯설고 어렵기만 한 식품정보 확인 방법을 앞으로 국가적인 차원에서 알릴 필요가 있다”고 말했다.

풀무원 관계자는 “어렸을 때 입맛이 평생 간다는 말이 있듯 어릴 적부터 바른먹거리를 친숙하게 접하고, 좋은 먹거리를 고르는 습관을 갖게 하는 것이 중요하다”며 “앞으로도 바른먹거리캠페인 교육횟수 및 인원을 확대해 올바른 식문화를 확립하는 데 일조할 계획”이라고 말했다. 

이관범 기자 frog72@munhwa.com
"
문화일보,풀무원 ‘바른먹거리 캠페인’ 하반기 교육 대폭 확대실시,"
				  풀무원이 어린이들에게 바른먹거리 선택법을 알려주는 ‘바른먹거리 확인 캠페인’ 하반기 교육을 본격 실시한다.

14일 유통업계에 따르면 풀무원은 오는 12월10일까지 식생활 캠페인 교육을 전문으로 하는 사회적 기업 ‘푸드포체인지’와 손잡고 어린이와 부모 등을 상대로 바른먹거리 확인 캠페인 교육을 실시한다. 이번 교육은 특히 기존 초등학교 3, 4학년 어린이 대상에서 미취학인 6, 7세 아동까지 범위가 넓어지고, 교육횟수도 상반기 60회에서 각각 초등학생 90회, 유치부 90회 등 총 180회로 대폭 확대됐다.

이번 교육을 담당할 푸드포체인지는 바른 식문화 정립을 위한 식생활 캠페인과 바른먹거리 교육 사업을 전문적으로 하는 비영리사단법인 형태의 사회적 기업으로 지난 8월30일 공식 출범했다. 

최준영 기자 cjy324@munhwa.com
"
문화일보,풀무원 ‘바른먹거리 교육’ 1만2561명 몰려,"
				  식품기업인 풀무원이 소비자단체와 함께 시행하고 있는 ‘바른먹거리확인 캠페인교육’이 학교와 학부모들로부터 큰 호응을 얻고 있다.

16일 풀무원에 따르면 지난 3월부터 교육을 실시하고 있는 서울시내 25개 초등학교 외에 전국 5대 광역시 및 수도권에서 4월부터 6월까지 개인과 단체를 대상으로 바른먹거리 교육 신청을 접수한 결과 총 584건, 1만2561명에 대한 교육 요청이 몰렸다.

풀무원은 이번 교육 대상에 포함되지 않은 강원, 제주, 경남 등 전국 곳곳에서 많은 신청이 몰려 평균 6.5대 1의 경쟁률을 보이는 등 교육 수요가 확산됨에 따라 내년부터 교육을 대폭 확대해 나가기로 했다.

노기섭기자 mac4g@munhwa.com
"
문화일보,‘풀무원 재단’ 공식 출범… 바른먹거리·나눔 추진,"
				  풀무원이 기업의 사회적 책임(CSR) 활동을 확대·강화하기 위해 설립한 ‘풀무원재단’이 공식 출범했다.

풀무원은 16일 오전 서울 강남구 수서동 본사에서 윤석철 재단 이사장과 한윤우 풀무원홀딩스 사장 등이 참석한 가운데 재단 현판식을 열고 재단 활동에 들어갔다. 풀무원 재단은 비영리 공익 법인으로, 그동안 풀무원이 전개해 온 바른먹거리, 나눔, 환경 사업 등을 주력으로 추진해 공익성을 강화할 계획이다.

재단은 주요 핵심 사업으로 바른먹거리 사업을 펼쳐 나갈 예정이다. ‘바른먹거리 확인 캠페인 교육’을 중심으로 ‘아토피 예방 교육’, ‘사회복지단체 생산제품 장려 지원’, ‘친환경 식습관 실천 홍보 사업’ 등을 적극적으로 전개한다. 특히 캠페인 교육의 경우 올해 참가 대상을 기존의 초등학교에서 어린이집, 지역아동센터로 확대하고, 교육횟수도 대폭 늘릴 방침이다.

재단은 바른먹거리 교육을 전문적으로 수행하기 위해 바른 식생활 교육 전문 사회적 기업인 사단법인 ‘푸드포체인지’와 협약을 체결했다. 또 교육과학기술부와도 양해각서(MOU)를 체결해 바른먹거리 교육을 ‘밥상머리 교육’ 등 청소년 인성교육과 연계해 범사회적 운동으로 추진할 방침이다.

최준영 기자 cjy324@munhwa.com
"
문화일보,"풀무원, 독립투쟁정신 기리는 영석상 받아","
1회 우당상엔 김성수 前대주교

“독립운동에 전 재산과 생명을 바친 영석 이석영 선생을 기려 풀무원은 우리 미래사회와 글로벌공동체에 기여할 수 있도록 더욱 노력하겠습니다.”

5일 서울 종로구 세종문화회관에서 열린 우당이회영교육문화재단 주관 ‘제1회 우당상·영석상’ 시상식에서 영석상을 수상한 풀무원의 이효율(62·사진 가운데) 대표가 6일 이같이 수상소감을 밝혔다. 우당상 수상자에는 김성수 전 대주교가 선정됐다. 시상식에는 우당의 손자인 이종찬( 〃왼쪽) 이사장과 이종걸(〃오른쪽) 의원 등 독립운동가 후손과 각계 인사 등 300여 명이 참석했다.

우당이회영교육문화재단은 우당 6형제의 중국 망명 110주년을 맞아 독립투쟁정신을 기리기 위해 우당상과 영석상을 제정하게 됐다. 우당의 자유평등사상과 자주독립정신을 기리는 우당상은 개인에게, 전 재산과 평생을 독립운동에 바친 영석의 노블레스 오블리주 정신을 기리는 영석상은 사회공헌활동에 공로가 있는 기업을 선정한다.

영석은 명문가 출신으로 문과에 급제해 한림승지까지 지냈으나 1910년 경술국치를 당하자 동생인 우당과 함께 만주로 망명해 신흥무관학교를 설립, 운영하는 데 결정적 역할을 했다. 당시 처분한 전 재산은 현재가치로 최소 600억 원에서 수천억 원에 이를 것으로 추산된다.

허성관 우당교육문화재단 심사위원장은 “풀무원은 농부 원경선 선생의 유기농을 통한 이웃사랑과 생명존중 정신을 계승해 한국국제기아대책기구, 지구사랑기금, 이웃사랑기금, 바른먹거리 캠페인, 풀무원재단 등 다양한 프로그램으로 사회공헌활동을 전개했다”고 선정 이유를 밝혔다. 

유현진 기자 cworange@munhwa.com
"
문화일보,"고령사회, 어르신 바른 식생활 시급, 풀무원 개선사업 펼친다","
				  풀무원이 고령자를 위한 바른 먹거리 교육에 나서 주목을 받고 있다.

풀무원은 식자재 유통전문기업 푸드머스와 함께 65세 인구가 14% 이상인 고령사회에 진입하는 2018년에 맞춰 ‘시니어 식생활개선 사업’(사진)에 들어간다고 29일 밝혔다

풀무원과 푸드머스는 우선 고령자 비율이 높은 농촌 3개 마을을 지정하고 모두 120차례에 걸쳐 시니어 식생활개선 사업을 펼친다. 이 사업은 공동급식 ‘마을밥상’ 운영, 영양 상담, 찾아가는 식생활 교육 등 3개 프로그램으로 운영된다. 풀무원이 전체 프로그램을 기획, 운영하고 푸드머스는 식자재를 공급한다. 올해는 충북 음성군 대소면 연호동 마을의 고령자 24명을 대상으로 시범 운영 중이다.

푸드머스는 이 사업의 핵심 프로그램인 마을밥상에 지난 2015년 국내 최초로 론칭한 시니어 전문 브랜드인 ‘소프트메이드(Softmade)’를 제공할 계획이다. 소프트메이드는 고령자의 치아 상태에 따른 저작(음식을 씹는) 능력을 4단계로 구분해 영양균형을 맞춘 고령자친화식품이다. 김현희 푸드머스 팀장은 “이 사업을 시범 운영한 지 4개월이 됐는데 어르신들이 음주 횟수와 흰 쌀밥 섭취량을 줄이는 등 식습관이 긍정적으로 바뀌고 있다”며 “올해 사업성과를 토대로 내년에는 더 많은 고령자가 건강한 식생활을 실천할 수 있도록 확대할 계획”이라고 말했다.

풀무원 관계자는 “고령사회에 진입하는 데도 불구, 고령자들의 잘못된 식습관·식생활에 따른 영양섭취 부족과 불균형, 노인 비만이 늘고 있다”며 “시니어를 위한 체계적인 식생활 교육이 필요한 시점”이라고 사업 배경을 설명했다.

이민종 기자 horizon@munhwa.com
"
문화일보,풀무원은 ‘먹거리 지킴이’… 식습관 개선 캠페인 3년째,"
				  풀무원이 어린이 식생활 습관 개선을 위해 3년째 진행해 온 ‘바른먹거리 확인 캠페인’이 갈수록 호응을 얻고 있다.

1일 관련업계에 따르면 풀무원은 캠페인 참가 희망자의 경쟁률이 6.5대 1을 기록하는 등 신청자 수가 크게 늘고 있어 올해부턴 기존 초등학교·대형마트 외에도 대안학교와 지역아동센터로 캠페인 대상기관을 넓히고 교육 연령층도 초등학생에서 유아로 확대키로 했다.

특히 참가 신청이 쇄도해 올해는 초등학교·대안학교·지역아동센터 등의 경우 90회, 어린이집의 경우 90회, 유통매장의 경우 60회 등 총 240회의 바른먹거리 확인 교육을 진행키로 했다. 대상 인원은 지난해 2800여 명에서 올해 3600여 명으로 대폭 증원할 계획이다.

이관범 기자 frog72@munhwa.com
"
문화일보,"중국 진출 만 7년 풀무원, 식품사업 협력 강화","
				  중국 진출 만 7년을 맞는 풀무원이 베이징(北京), 상하이(上海), 충칭(重慶)을 거점으로 중국 사업을 본격화하고 있다.

풀무원은 천조우(사진 왼쪽) 중국 국제무역촉진위원회(CCPIT) 부회장이 24일 서울 강남구 수서동 풀무원 본사를 방문, 이효율(〃 오른쪽) 풀무원 식품 대표와 중국 사업 현황과 함께 양자 간 협력 방안에 대해 논의했다고 밝혔다. CCPIT는 중국 대외무역 진흥 및 외국의 선진기술 도입과 투자 유치, 외국과 각종 형태의 경제, 기술 협력 활동을 위해 1952년에 설립된 기관으로 회장과 부회장은 중국 국무원에서 임명한다.

천조우 부회장은 이날 만남에서 “중국도 과거와 달리 가격이 비싸더라도 위생적이고 품질 좋은 먹거리를 선호하면서 바른 먹거리 제품에 대한 수요가 증가하고 있다”며 “풀무원이 중국을 포함해 아시아인들이 바른 먹거리를 먹을 수 있도록 제조에 힘써주길 바란다”고 말했다. 이 대표는 이에 대해 “지속적인 우호 교류관계를 유지하기를 희망한다”고 화답했다.

천조우 부회장은 CCPIT 대표단 6명과 함께 24, 25일 서울 영등포구 여의동 전경련 회관에서 열리는 ‘아시아 비즈니스 서밋’ 참석차 한국을 방문했으며, 행사 참석에 앞서 오랜 우호 관계를 맺고 있는 풀무원을 찾았다.


풀무원은 2010년 베이징, 상하이에 풀무원 식품 법인을 설립하며 중국시장에 진출했고, 2013년 충칭에 풀무원 건강생활 법인을 세우면서 중국 3개 거점을 중심으로 중국 사업을 본격, 추진 중이다. 

풀무원식품의 현지 법인인 푸메이뚜어식품은 면류, 떡류, 김치류, 냉동만두류, 두부 등 신선식품을 제조, 판매 중이다. 푸메이두어식품은 지난해 글로벌 유통업체인 월마트 샘스클럽으로부터 ‘최우수공급상’을 받는 가 하면 제품과 사업영역을 지속해서 확장하며 로하스 신선식품 기업으로 자리매김하고 있다. 

중국 현지 법인명이 ‘푸메이뚜어러훠’인 풀무원건강생활도 건강기능식품과 로하스생활제품, 스킨케어 제품을 제조하여 회원제로 판매하고 있다.  

이민종 기자 horizon@munhwa.com
"
