,본문,명사
0,모든 남자아이돌 옷장과 협찬에서 비니와 벙거지를 없애주세요 환경오염입니다 지구야미안해,"['모든', '남자', '아이돌', '옷장', '협찬', '비니', '벙거지', '환경오염', '지구']"
1,쓰레기를 버리지말자는 주장에 환경오염과 환경미화원의 노고를 생각하면 옳은비판이었다고 논쟁을 종료하자는 사람들이 아니라 그걸 쓰레기를 버린 나에대한 공격으로 간주하고 불쾌감을 느낀 사람들이 쓰레기를 버릴 권,"['쓰레기', '주장', '환경오염', '환경미화원', '노고', '생각', '비판', '논쟁', '종료', '사람', '쓰레기', '나', '대한', '공격', '간주', '불쾌감', '사람', '쓰레기', '권']"
2,환경오염때문에 온거면 환경주제도꺼낼수잇어요,"['환경오염', '때문', '환경', '주제']"
3,그래서 쓰레기를 무단투기하지 말라는 주장이 타집단에서 나오면 그게 옳다고 동의하는게 아니라 쓰레기를 무단투기해서 그걸 지적당한 자신들의 불쾌감을 우선시하며 쓰레기를 버릴 권리를 주장하며 자신이 논쟁 아니,"['쓰레기', '무단', '투기', '말', '주장', '집단', '그게', '동의', '쓰레기', '무단', '투기', '적당', '자신', '불쾌감', '우선', '시', '쓰레기', '권리', '주장', '자신', '논쟁']"
4,공룡행성에서 왜왓어요 환경오염때문인가요,"['공룡', '행성', '왜왓어', '환경오염', '때문']"
5,내가 매번 꿈꾸면 저런 미래사회 나오는데 전국팔도가 테마파크처럼 돼서 고속도로를 타면 돈을 내는게 아니라 내리면 그지역 입장권을 끊어야 돼 부도난 건물이 즐비한 테마도시도 있고 환경오염 테마도시도 있음 침수된 도시도 있고,"['내', '매번', '저런', '미래', '사회', '전국', '팔도', '테마', '파크', '고속도로', '돈', '지역', '입장권', '부도', '건물', '테마', '도시', '환경오염', '테마', '도시', '침수', '도시']"
6,현장포커스 인천 대무의로 농지성토 공사장 관리 감독 절실 인천 대무의로 일대 유수지 앞 농지성토 공사 현장의 환경오염 방치에 대해 인근 주민들이 행정기관,"['현장', '포커스', '인천', '대무', '로', '농지', '토', '사장', '관리', '감독', '절실', '인천', '대무', '로', '일대', '유수지', '앞', '농지', '토', '공사', '현장', '환경오염', '방치', '대해', '인근', '주민', '행정기관']"
7,지구 이대로 괜찮은건가 전세계에 역병에 화재에 시위에 환경오염에 난리가아닌데,"['지구', '건가', '전세계', '역병', '화재', '시위', '환경오염', '난리']"
8,기후정의를 말하다 기후변화 와 인종차별 은 맞닿은 문제 비즈트리뷴 마이크로소프트 측에 따르면 환경 불평등과 인종차별 간의 연관성은 세기에 일어난 환경오염,"['기후', '정의', '말', '기후변화', '인종차별', '은', '문제', '비즈', '트리뷴', '마이크로소프트', '측', '환경', '불평등', '인종차별', '간의', '연관', '성은', '세기', '환경오염']"
9,교수님이 원하는 답은 환경오염을 줄이기 위해서 였는데,"['교수', '답', '환경오염', '위해']"
10,그렇네 고기먹으면 환경오염,"['고기', '환경오염']"
11,걍 포카만 팔아라 환경오염이에,"['포카', '환경오염']"
12,썩다못해 환경오염까지 ㄷㄷ,['환경오염']
13,살의 나 다이치 하 왜 인생아 있을까 사람이 있을까 인간이 없으면 환경오염도 안될텐데 한숨 아놔 중 병 오진다,"['살의', '나', '이치', '왜', '인생', '사람', '인간', '환경오염', '한숨', '중', '병']"
14,배양육 동물애호 비건 축산업에서 발생하던 환경오염과 동물윤리 문제 해결될 수 있을까요,"['배양육', '동물', '애호', '비건', '축', '산업', '발생', '환경오염', '동물', '윤리', '문제', '해결', '수']"
15,나는 여기 산다는 이유로 종종 숨쉴 때마다 기후세 내는데 운좋기 좋은 환경에 태어나 살면서 자국들에서 어떤 식으로 환경오염을 남의 나라에 떠넘기는지 생각도 않고 터진 입이라고,"['나', '여기', '산다', '이유', '종종', '때', '후세', '운', '환경', '자국', '식', '환경오염', '남', '나라', '생각', '입']"
16,저도 사본 적은 없지만 기름값 쫌 싼 거 외에는 장점은 없는 것 같아요 소음과 승차감때문에 사시면 후회하실 듯요 특별한 목적이 있으면 모를까 환경오염도 그렇고 전 비추입니다,"['저', '사본', '기름값', '쫌', '거', '외', '장점', '것', '소음', '승', '차감', '때문', '사시', '후회', '듯', '목적', '환경오염', '전']"
17,저런 하수구 음식물쓰레기 처리기 쓰면 안됌 환경오염 다른집 하수구 막혀서 민폐오지게 줌 그리고 불법임,"['저런', '하수', '구', '음식물', '쓰레기', '처리기', '환경오염', '집', '하수', '구', '민폐', '오지', '줌', '불법', '임']"
18,뭐 그런데 결국 로켓 발사장이란게 말 그대로 환경오염의 극치라 환경 반대론자들에게 이야기 될 수 밖에 없는 지점은 있다 봅니다,"['뭐', '로켓', '발사', '이란', '말', '그대로', '환경오염', '극치', '환경', '반대론', '자', '이야기', '수', '지점']"
19,자차 그만 타고 대중교통 이용하자고 환경오염 어쩌구하는 사람은 아침 시 저녁 시 지하철 버스 안타본 사람이 분명함,"['자차', '타고', '대중교통', '이용', '환경오염', '어쩌구하', '사람', '아침', '시', '저녁', '시', '지하철', '버스', '안타', '사람']"
20,비닐라벨이 전체에서 위쪽으로만 붙어져서 환경오염이 덜해요 가 한국어발음 라이트 로 재탄생했어요 블랙보리 글씨체가 바뀌었어요 라벨이 바뀌면서 하이트진로가 가운데,"['비닐', '라벨', '전체', '위쪽', '환경오염', '한국어', '발음', '라이트', '로', '재탄생', '블랙', '보리', '글씨체', '라벨', '하이트진로', '가운데']"
21,아 삶 취준 인생 미래 그런 거 모르겟고 어제는 배수아 푸른 사과가 있는 국도 읽따가 어라라 누가 내인생 스포일러를 해놧네 싶어서 굳이 내가 삶을 한번 더 살 필요가 잇을까 일종의 환경오염을 실천하는 것이 아닌가 그런 생각을,"['삶', '취준', '인생', '미래', '거', '어제', '배수아', '푸른', '사과', '국도', '누가', '인생', '스포일러', '해놧', '굳이', '내', '삶', '한번', '더', '살', '필요', '일종', '환경오염', '실천', '것', '생각']"
22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ말만 상냥할 것 같은 ㅋㅌㅋㅌㅋ 당신이 하는 짓은 환경오염이에요,"['말', '것', '당신', '환경오염']"
23,환경오염시키면 브룽이라 아파요 바다에 쓰레기를 버리지 마세요,"['환경', '브룽', '바다', '쓰레기']"
24,완전 완전 타래 다 읽어봤는데 진짜 너무 갓커에요 환경오염에 대한 메시지를 커뮤에 녹아든게 너무 멋있어요,"['완전', '완전', '타래', '진짜', '갓', '환경오염', '대한', '메시지', '커뮤', '녹', '아든']"
25,시발날투디세카이로보내주ㅏ 그럼적어도거기엔환경오염이없지않을까 환경오염이 걱정된다면 우에키의법칙에 들어가서 우에키를 환경운동가로 키워내기,"['시발', '날투디', '세카', '거기', '환경오염', '환경오염', '걱정', '의', '법칙', '를', '환경운동가']"
26,집에 장난감 개잇는데 어떻게 모든게 싫은거니 얘들아 환경오염 그만하고싶어 죽여줘,"['집', '장난감', '개', '모든', '얘', '환경오염']"
27,환경오염 오타쿠,"['환경오염', '오타쿠']"
28,코덕 맴찢영상 왜 어ㅐ 만드는거임 볼때마다 환경오염밖에 생각 안나,"['코덕', '맴', '영상', '왜', '임', '볼때', '환경오염', '생각', '안나']"
29,그렇죠 저도 옛날에는 그런 환경오염 포스터를 그리기도 했는데 딱히 미술에 재능이 있던 건 아니라서 상은 타지 못했지만 말입니다 먼 하늘을 바라보며 작게 웃고는 그렇겠죠,"['저', '옛날', '환경오염', '포스터', '그리기', '미술', '재능', '건', '상', '타지', '말', '하늘']"
30,그건 환경오염이 아닐까요,"['환경오염', '요']"
31,그새끼들이 재활용하는게 환경오염 막는데 제일 효과적,"['새끼', '재활용', '환경오염', '제일', '효과']"
32,지구가 의지를가지고 환경오염시키는 나라를 조진다면 순위 순위는어딜까,"['지구', '의지', '가지', '환경', '나라', '순위', '순위']"
33,비닐라벨이 전체에서 위쪽으로만 붙어져서 환경오염이 덜해요 가 한국어발음 라이트 로 재탄생했어요 블랙보리 글씨체가 바뀌었어요 라벨이 바뀌면서 하이트진로가,"['비닐', '라벨', '전체', '위쪽', '환경오염', '한국어', '발음', '라이트', '로', '재탄생', '블랙', '보리', '글씨체', '라벨', '하이트진로']"
34,환경오염 이야기도 그렇고 사람이 더 태어나봐야 좋은 거 없다 싶고 뭐 이런 이야기 하면 이상한 눈초리 하는 사람 많을듯하지만ㅋㅋ 애기 있는 분은 계속 애기 자랑하고 진짜 관심 도,"['환경오염', '이야기', '사람', '더', '거', '뭐', '이야기', '눈초리', '사람', '애기', '분', '계속', '애기', '자랑', '진짜', '관심', '도']"
35,세계 제 경제 대국임에도 불구하고 미국 서민들은 왜 점점 가난해지는가 그 세금 다 어디로간거 자유 민주주의 정의의 이름으로 전쟁무기 마음껏 사막에 뿌리면서 누구 배불려준거 지구 환경오염 어쩔 양쪽 악행,"['세계', '제', '경제', '대국', '임', '불구', '미국', '서민', '왜', '점점', '그', '세금', '어디', '자유', '민주주의', '정의', '이름', '전쟁', '무기', '마음껏', '사막', '누구', '배', '지구', '환경오염', '양쪽', '악행']"
36,여기에 각종 환경오염으로 인한 기후위기까지 디스토피아가 가까워 지는건가 싶어요 ㅠㅠ,"['여기', '각종', '환경오염', '기후', '위기', '디스토피아', '건가']"
37,왜 내가 해피밀 시킬 때는 환경오염에 한숟 얹었다는 마음의 죄책감만 들게하더니,"['왜', '내', '해피밀', '때', '환경오염', '한숟', '마음', '죄책감']"
38,남한에도 우라늄 매장량이 경제성있을 것으로 예상되어 광산개발 추진된 지역이 여럿 있지만 지방정부가 환경오염등을 우려해 금지한 상태,"['남한', '우라늄', '장량', '경제성', '것', '예상', '광산', '개발', '추진', '지역', '여럿', '지방정부', '환경오염', '등', '우려', '금지', '상태']"
39,착한 그런가 이어지는 네 말에 잠시 고민하고 음 구하는 역할 뭐 아픈 친구 보건실에 데려다주기 이런것도 구하는거에 포함되는건가 아님 실수로 발 헛딛인 친구들 잡아주기,"['런가', '네', '말', '잠시', '고민', '음', '구', '역할', '뭐', '친구', '보건', '실', '것', '구', '포함', '건가', '실수', '발', '헛딛', '친구']"
40,세계 제 경제 대국임에도 불구하고 미국 서민들은 왜 점점 가난해지는가 그 세금 다 어디로간거 자유 민주주의 정의의 이름으로 전쟁무기 마음껏 사막에 뿌리면서 누구 배불려준거 지구 환경오염 어쩔,"['세계', '제', '경제', '대국', '임', '불구', '미국', '서민', '왜', '점점', '그', '세금', '어디', '자유', '민주주의', '정의', '이름', '전쟁', '무기', '마음껏', '사막', '누구', '배', '지구', '환경오염']"
41,아 환경오염 지금당장쓰레기주으러겟아웃,"['환경오염', '지금', '당장', '쓰레기', '겟', '아웃']"
42,환경오염보단 환경의 복수같긴한데요,"['환경오염', '환경', '복수', '요']"
43,플라스틱사용과다로인한환경오염 보,"['플라스틱', '사용', '과', '로', '환경오염', '보']"
44,텀블러 선물이 여기저기서 너무 많이 들어온다 환경보호를 위해서 텀블러를 쓰라지만 인장 텀블러 개 이상이면 환경오염에 더 가까운 거 아닌지,"['텀블러', '선물', '여기저기', '환경보호', '위해', '텀블러', '라지', '인장', '텀블러', '개', '이상', '이면', '환경오염', '더', '거']"
45,나갑지기겸뱀이넘좋은걸 범죄자아기 이 문제아들이 저지르는일 길고양이들과 환경오염 대책 회의 설빙 가서 떡볶이 주문하기 인형뽑기에 만원쓰기 주유소에서 인스타사진찍기,"['겸뱀', '범죄자', '아기', '이', '아들', '일', '길고양이', '환경오염', '대책', '회의', '설빙', '떡볶이', '주문', '인형', '뽑기', '만원', '쓰기', '주유소', '인스타', '사진', '찍기']"
46,수제장인정신의계승으로지구환경오염과재활용장신구적극사용하기를같이소통과협력해보기를바랍니다,"['장인정신', '계승', '환경오염', '재활용', '장신구', '적극', '사용', '소통', '협력']"
47,헐나도가리비자살했다는줄알고 환경오염문제가심각하구나 하면서 주의깊게바라보니까 깔끔하게 손질된 가리비 관자살이었음,"['가리비', '자살', '알', '환경오염', '문제', '주의', '손질', '가리비', '관자']"
48,씨스피라시 재밌다 환경오염은 어업의 쓰레기와 남획 때문임 근데 환경사업이 돈이 되니까 쉬쉬하는 거지 겨우 플라스틱 빨대 때문이라면서 애초에 어업이 사라지면 일자리가 없으니까 근본적 해결방안,"['씨', '스피라', '시', '환경오염', '어업', '쓰레기', '남획', '때문', '임', '환경', '사업', '돈', '거지', '겨우', '플라스틱', '빨대', '때문', '면서', '애초', '어업', '일자리', '근본', '해결', '방안']"
49,이딴걸 만든새끼나 돈받고 파는새끼나 돈주고 사는새끼나 대가리에 뭐가처들은거야 씨발 다이어트를 할것같으면 콜라를 처 마시질 말던가 제로콜라를 마시던가 소용량 마실거면 캔콜라는 장식인가 벌레같은새끼들 환경오염주범이여,"['걸', '새끼', '돈', '새끼', '돈', '새끼', '대가리', '뭐', '처', '거', '씨발', '다이어트', '콜라', '처', '제로', '콜라', '용량', '캔', '콜라', '장식', '벌레', '새끼', '환경오염', '범']"
50,탄소 배출과 환경오염 자원 고갈에 대한 비용이 경제성장 지표엔 계산되지 않는다 행복 사랑 아이와 엄마와의 밀착 관계 걸어다닐 수 있는 동네 시간의 흔적이 묻은 건축물 신뢰 용서 서비스를 잘 해주는 단골 가게 주인의 가치도 말이다,"['탄소', '배출', '환경오염', '자원', '고갈', '대한', '비용', '경제성장', '지표', '계산', '행복', '사랑', '아이', '엄마', '밀착', '관계', '수', '동네', '시간', '흔적', '건축물', '신뢰', '용서', '서비스', '단골', '가게', '주인', '가치', '말']"
51,알파고 있는데 왜 환경오염 시키면서 숨 쉬어 당장 죽어,"['알파', '왜', '환경오염', '숨', '당장']"
52,더위로 인해 해수온도가 올라 물고기들이 폐사한다 정상적인 해결법 해수온상승 등 이상기후의 원인이 되는 환경오염을 막는다 인간들의 해결법 고수온 버틸 수 있는 품종을 개발한다 와 인간들 너무,"['더위', '해수', '온도', '물고기', '폐', '정상', '해결', '법', '해수', '상승', '등', '이상기후', '원인', '환경오염', '인간', '해결', '법', '수온', '수', '품종', '개발', '인간']"
53,환경오염을 안시키려면 자살 이 가장 빠르겠습니다만 실제로 이걸 바라시진 않겠고 해결을 해야겠죠 다들 저렇게 비판해도 당일 새벽배송 없으면 화낼분들 많고,"['환경오염', '자살', '이', '가장', '실제', '걸', '해결', '비판', '당일', '새벽', '배송', '화낼']"
