언론사,제목,내용
경향신문,‘바른 먹거리’ 풀무원 물류센터에서는 무슨 일이?,지난 16일 사회관계망서비스에서는 차밑에 들어가 있는 한 노동자의 사진이 화제를 모았다 ‘바른 먹거리’로 유명한 식품기업 풀무원의 물품을 운송하는 화물노동자 이현철씨가 충청북도 음성 풀무원 물류센터에서 쇠사슬을 몸에 감고 농성하는 모습이었다 민주노총 충북지역본부 페이스북은 이 사진을 게시하고 “풀무원 분회 이현철 동지가 본인의 차량으로 물류센타 정문으로 돌진하여 스스로 쇠사슬을 몸에 감았다”며 “이현철 동지는 풀무원 제품을 하차중에 개방성 골절살이 찢어져 뼈가 보이고 부러진 상태이 되어도 회사의 대차비 요구에 완전히 회복하지 못하고 하루에 700를 운행하며 상하차 업무까지 했던 동지”라고 소개했다 또 “풀무원의 거의 모든 동지들이 이렇게 지내고 있다”며 “풀무원의 추악함과 가증스러움 때문에 분노가 치밀어 미치겠다”고도 적었다 지난 16일 이현철씨가 풀무원 물류센타에 세워둔 차 밑에 쇠사슬을 감고 누워있다 민주노총 충북지역본부 페이스북 풀무원은 ‘바른먹거리’란 슬로건을 내건 식품회사다 현재는 경영권에서 손을 뗐지만 새정치민주연합 원혜영 의원이 창업한 기업으로도 잘 알려져있다 그러나 최근에는 상에서 “‘바른먹거리’ 뒤에는 ‘나쁜짓거리’”라는 비아냥을 받고 있다 화물연대와의 대립 때문이다 시작은 지난 4일이었다 연합뉴스에 따르면 풀무원의 충북 음성 물류사업장에서 화물업체 운송트럭 지입차주 40여명이 이날부터 파업에 돌입했다 이들은 풀무원의 물류계열사 엑소후레쉬물류의 위탁업체인 대원냉동운수·서울가람물류와 계약을 맺고 용역트럭5 11을 모는 노동자들이었다 파업의 주된 이유는 ‘트럭 외부 도색과 스티커’였다 지입차주들은 “회사는 지난 파업 때 차량 도색 훼손을 문제 삼아 차량 도색을 훼손하지 않을 것과 구호 주장 화물연대 스티커 등을 부착하지 않을 것을 요구하고 이를 어기면 징벌적 임금 삭감을 하겠다는 노예 계약서를 강요하고 있다”며 “사측은 노예 계약서인 ‘도색 유지 계약서’를 즉각 폐기하고 산재 사고가 발생했을 때 보상하는 방안을 마련하라”고 말했다 화물연대는 지난 3일 동영상 사이트 ‘유튜브’에 풀무원을 다각도로 비판하는 동영상을 게재했다 지난 8일에는 영화 ‘베테랑’의 내용을 섞어 화물노동자들의 어려움 부당한 처우 등을 전하는 동영상 2탄도 유튜브에 걸었다 풀무원 측은 화물연대 측 주장을 조목조목 반박하고 나섰다 풀무원은 지난 8일 발표한 보도자료에 “풀무원 브랜드 로고를 훼손하지 않기로 한 서약서는 차주들이 자발적으로 작성한 것”이라며 “풀무원 를 도색 했을 때가 하지 않았을 때보다 차량 거래시 수천만 원의 프리미엄이 붙기 때문”이라고 말했다 또 “지난 1월 상호 협력과 상생을 위해 앞으로 1년간 일방적인 제품 운송 거부 등 집단행동을 하지 않기로 합의했음에도 차주들이 명분 없는 불법 상황을 또 연출하고 있다”고 주장했다 14일에 낸 보도자료에서는 “문제가 되는회사 없이 차라리 백지로 차량을 운행하라”고 요구했다 풀무원은 “도색유지서약서가 나온 배경은 지난 1월 화물연대 파업때 가 도색된 차량 외부가 심하게 훼손됐기 때문”이라며 “풀무원 가 도색된 차량을 다시 훼손할 바에는 차량을 백지로 칠하는 것이 낫다 회사는 도색을 지울 경우 도색비용까지 지급하겠다”고 말했다 또 “운송거부중인 지입차주 40여명은 서약서 폐기를 주장하면서도 풀무원의 는 지우지 않겠다는 입장”이라며 “풀무원 를 지우면 차량을 매매할 때 가치로 받을 수 있는 수천만 원의 프리미엄권리금을 포기해야 하기 때문”이라고 주장했다 풀무원측이 공개한 도색 훼손 차량 사진 풀무원은 또 운송거부중인 지입차주들이 합의내용과 관계도 없는 허위주장을 담은 동영상을 만들어 유포해 기업이미지와 명예를 훼손하고 막대한 경제적 손실을 입히고 있다고 주장했다 지입차주들이 ‘20년 동안 월급이 동결되었고 추가 운임비는 줄고 인력감축으로 노동강도는 세졌다’고 동영상을 통해 주장하는 것에 대해 회사는 “이들이 받는 돈은 월급이 아니라 제품을 운송해주고 운송회사에서 받는 운임인데 이는 꾸준히 올랐다”고 말했다 이어 “운송회사에서 지입차주들에게 지급하는 한달 평균 기본운임은 512만원이며 추가 운임비를 포함하면 평균 600만 원 수준이다”라며 “지입차주들은 연 7000만원 안팎의 안정적인 수입을 올리는 개인사업자다”라고 말했다 화물연대 심동진 전략조직국장은 17일 경향신문과 통화에서 “풀무원 사측이 아주 조그만 스티커 하나까지 문제를 삼기 때문에 벌어진 일”이라고 말했다 심 국장은 “회사가 강요하는 계약서대로라면 단체행동은커녕 화물연대 소속임을 표시하는 작은 스티커 깃발도 차량에 달 수가 없다”며 “이를 문제삼아 벌금을 물리고 계약해지를 주장하는 것은 사실상의 노예계약”이라고 말했다 또 “우리가 주장하는 것은 이런 노예계약을 무효화하자는 것인데 회사 측이 협상에도 나오지 않아 답답할 따름”이라고 말했다
경향신문,"풀무원, 어린이 바른 먹거리 현장 체험교육",풀무원 홀딩스는 초등학교 여름방학을 맞아 충북 음성 풀무원 두부공장을 돌아보는 ‘풀무원과 떠나는 우리아이 피크닉’을 실시키로 했다고 13일 밝혔다 ‘풀무원과 떠나는 우리아이 피크닉’은 서울에서 출발 풀무원 음성두부공장을 방문하는 1일 체험 프로그램이다 어린이 공장견학에는 슬로우 푸드인 두부에 대해 자세히 알아보고 직접 두부 만들기와 나만의 도시락을 꾸며보는 시간이 마련됐다 어린이 조기 식생활 캠페인인 ‘바른 먹거리 확인 교육’과 게임을 통해 물의 중요성을 배우는 ‘지구환경 교육’등의 다양한 커리큘럼들도 준비됐다 어린이 공장견학은 오는 26일과 28일 총 2회 진행되며 초등학교 46학년 어린이 1명과 보호자 1인이 한 팀을 구성해 참가하면 된다 한 회당 17팀을 선발하며 참가비는 무료다 20일까지 풀무원 홈페이지를 통해 참가신청을 받으며 21일 당첨자를 발표할 계획이다 풀무원 홀딩스 박승필 홍보팀장은 “어린이들이 체험 활동을 통해 자연스럽게 바른 먹거리와 환경의 중요성에 대해 배울 수 있도록 견학 프로그램을 특별 기획했다”며 “학기 중에는 좀처럼 할 수 없는 현장 체험의 기회로 방학을 맞은 어린이들에게 좋은 추억이 될 것으로 기대한다”고 밝혔다
경향신문,"풀무원다논의 ‘다논 그릭’, 고단백 저지방 깊고 진한 풍미로 그릭요거트 시장 판매 1위 차지",그릭 요거트가 인기다 그리스 등 지중해 연안지역 가정에서 만들어 먹던 영양이 풍부하고 맛이 진한 요거트가 미국으로 건너와 ‘그릭 요거트’라는 이름으로 상품화되었다 10여 년 전 미국의 한 건강전문지가 그릭 요거트를 세계 5대 건강식품으로 선정하자 세계적으로 주목을 받기 시작했고 이후 꾸준한 인기를 얻고 있다 국내에서도 유가공업계와 닐슨코리아 리테일 인덱스소매지수에 의하면 국내 그릭 요거트 시장규모도 2015년 대비 2016년에는 34배 급증했고 2017년 현재도 꾸준한 성장세를 유지하고 있는 것으로 나타났다 고단백 저지방 깊고 진한 풍미로 그릭요거트 ‘다논 그릭’ 그릭 요거트는 일반 요거트에 비해 유단백질이 23배 많이 함유되어 있어 고단백 식품으로 알려져 있다 국제식품규격위원회는 단백질이 56 이상 함유된 제품을 고단백 요거트로 정의하고 있지만 국내에서는 단백질 함량이나 성분에 대한 기준은 명확하지 않은 상태다 각 나라별로 소비자들의 입맛에 따라 조금씩 특징이 다른 그릭 요거트들이 인기를 얻고 있다 미국에서는 고단백 저지방 제품부터 무지방 제품 초콜릿이나 치즈케이크를 더한 디저트용 요거트까지 다양한 그릭 요거트들이 나와 있고 유럽이나 남미 지역에서는 부드러운 맛이 인기라 지방 함유량을 높여 입 안에서 부드럽게 녹는 맛이 특징이며 캐나다에서는 그릭 요거트를 요리에 사용하는 경우가 많다 우리나라에서는 고단백 저지방이면서 부드럽고 진한 풍미의 그릭 요거트가 인기인 것으로 나타났다 닐슨코리아 리테일 인덱스소매지수에 따르면 전체 그릭 요거트 시장 중 판매 및 점유율 1위는 2015년과 2016년 2년 연속으로 풀무원 다논의 ‘다논 그릭’ 브랜드가 차지했다 세계적인 요거트 전문기업 프랑스 다논의 기술력과 바른 먹거리 풀무원이 함께 만든 ‘다논 그릭’ 제품은 고단백 저지방은 물론 고급원료인 고메치즈를 사용해 부드러움과 깊고 진한 풍미를 더한 것이 특징이다 풀무원다논의 ‘다논 그릭’ 제품라인은 ‘다논 그릭 플레인’을 필두로 다양한 제품군을 형성하고 있다 ‘다논 그릭 플레인’은 입 안을 진하고 풍부하게 감싸는 질감이 특징인 플레인 요거트로 고메치즈로 한층 깊고 진한 맛을 더했다 여기에 소비자들의 기호에 맞춰 건강 간식이나 식사대용 디저트로 먹을 수 있는 ‘블루베리 치즈’ ‘퓨전 베리믹스’ ‘퓨전 딸기 바나나’ 등이 함께 포진하고 있다 특히 ‘다논 그릭 퓨전’ 제품 2종은 새로운 스타일의 유럽식 그릭 요거트 제품으로 플레인 그릭 요거트가 제품 용기의 윗부분에 2가지 과일믹스의 풍부한 과일이 아랫부분에 담겨있어 취향에 따라 부드럽게 섞어 먹을 수 있는 제품이다 또 최근에는 지난해 여름 폭발적인 인기를 누렸던 얼려 먹는 100 그릭 요거트 제품 ‘다논 그릭 프로즌’을 더 건강하게 업그레이드해 출시하기도 했다 부드럽고 진한 풍미의 그릭 요거트만 100 담아 그대로 얼려 먹는 냉동 전용 요거트로 다논의 100년 발효 기술로 만들어낸 다논 유산균 543043이 냉동 상태에서도 살아있어 여름철 간식으로 장 건강도 챙길 수 있는 일석이조 제품이다 24시간 냉동 보관해도 다른 요거트나 빙과류처럼 단단하게 얼지 않고 셔벗과 아이스크림의 중간 정도 제형으로 쉽게 떠먹을 수 있다 이번 신제품은 조직감을 개선해 식감을 더욱 좋게 만들었고 풍부한 우유의 맛과 상큼한 요거트의 풍미를 동시에 느낄 수 있는 ‘바닐라맛’과 신선한 딸기 과육과 상큼한 요거트를 동시에 즐길 수 있는 ‘딸기맛’ 등 2종에 더해 매력적인 달콤함으로 무장한 ‘망고맛’을 올해 새롭게 추가했다 풀무원다논은 풀무원의 바른 먹거리 철학과 100년 발효 역사를 지닌 프랑스 다논의 세계 1위 요거트 기술이 더해져 설립된 유제품 전문기업이다 한국인들의 입맛에 맞는 맛있고 영양가 높은 고품질의 요거트를 개발 생산하기 위해 국내에 연구소를 설치하고 청정지역 무주에 생산공장을 갖추는 등 한국에서의 투자를 아끼지 않고 있다 현재 세계 판매 1위 요거트 브랜드 ‘액티비아’와 온가족 활력 요거트 브랜드 ‘아이러브요거트’ 맛있는 선택 기분 좋은 휴식을 내세운 ‘다논 그릭’ 등의 브랜드를 전개하고 있다
경향신문,"풀무원, ‘식물성유산균 치아씨드 오메가’ 리뉴얼 출시",혈관·장 건강 돕는 ‘유산균’ ‘오메가3’ 한 병에 담아 풀무원건강생활 유산균음료 전문 브랜드 풀무원프로바이오틱은 풀무원 독점 특허 식물성유산균 08을 한 병에 130억 제품 1당 유산균을 측정하는 단위 담아 건강통로인 혈관과 장 건강을 위한 ‘식물성유산균 치아씨드 오메가’를 리뉴얼 출시했다고 오늘7일 밝혔다 ‘식물성유산균 치아씨드 오메가’는 2014년 출시한 ‘식물성유산균 치아씨드’를 리뉴얼한 제품으로 풀무원 독점 특허 식물성유산균과 슈퍼곡물 치아시드 식이섬유 등 영양성분의 함량을 대폭 높인 것이 특징이다 특히 식이섬유 단백질 항산화 물질이 풍부한 슈퍼곡물 치아시드 함량을 기존 제품 대비 약 18 늘렸으며 체내 생성이 안 돼 식품으로 꼭 섭취해야 하는 오메가3도 100을 늘려 식물성 오메가3가 850 담겼으며 제품명에 ‘오메가’를 강조했다 이밖에 강한 생명력의 상징인 선인장 열매 1150 채소와 과일 섭취량이 적은 바쁜 현대인을 위해 사과 2개 반 분량의 식이섬유도 7000까지 한 병에 담았다 치아시드는 물에 닿으면 다당체 성분의 점액이 나와 최대 1012배까지 불어나는데 이러한 특성을 제품 패키지로 직접 확인할 수 있도록 ‘누드 패키지’를 적용 시각적인 즐거움도 느낄 수 있도록 했다 ‘식물성유산균 치아씨드 오메가’ 한 병130 가격은 2000원이며 풀무원녹즙 신선음료 일일 배송판매원인 모닝스텝을 통해 유통 온도 5℃ 이하를 지켜 사무실과 가정으로 직접 배달된다 풀무원프로바이오틱 남기현제품 매니저은 “식물성유산균 치아씨드에 보내준 소비자들의 큰 사랑에 보답하고자 풀무원 독점 특허 식물성유산균과 영양성분 함량을 더욱 강화해 리뉴얼 출시하게 됐다”며 “풀무원의 바른 먹거리 원칙에 따라 깐깐하게 고른 식물성 오메가3와 유산균으로 바쁜 아침 간편하게 건강을 챙기시길 바란다”고 말했다 헬스경향 장인선 기자 ▶더 많은 건강뉴스 보러가기
경향신문,풀무원베이비밀 ‘백일되면 베이비밀’ 이벤트,풀무원베이비밀이 생후 백일이 지나고 만 4개월부터 시작하는 이유식의 중요성을 알리기 위해 임신부와 백일 전후 자녀를 키우는 부모를 대상으로 오는 20일까지 ‘백일되면 베이비밀’ 이벤트를 진행한다고 최근 밝혔다 네이버 검색창에 ‘백일되면 베이비밀’을 검색해 이벤트 페이지에 접속할 수 있으며 백일떡과 이유식 식기세트 가운데 받고 싶은 선물을 선택한 후 이름과 본인 핸드폰 번호 입력만으로 간단히 참여할 수 있다 응모 후 바로 ‘백일떡’100명과 ‘이유식 식기세트’2000명 당첨 여부를 확인할 수 있으며 참여한 모든 고객에게 베이비밀 주문 시 사용할 수 있는 할인쿠폰1만원을 제공한다 풀무원베이비밀은 풀무원의 바른 먹거리 원칙과 영양기준에 근거해 백일 이후 시작하는 이유기 각 단계별로 필요한 영양기준을 자체적으로 개발하여 제품을 설계한다 ‘월령별 맞춤 프로그램’은 만 4개월에서 13개월 아기들의 성장과 발육을 유도함은 물론 올바른 식습관까지 형성될 수 있도록 월령별 영양 균형 철분보강 장 건강 새로운 식품 경험 등을 모두 고려한 ‘미각학습’ ‘튼튼’ ‘장건강’ ‘스텝 업’으로 구성되어 있다 헬스경향 전유미 기자 ▶더 많은 건강뉴스 보러가기
경향신문,풀무원 페이스북 오픈,풀무원은 바른먹거리 문화 전파를 위한 고객과의 소통 창구로 공식 페이스북을 오픈한다고 15일 밝혔다 이 회사는 페이스북을 통해 바른먹거리와 올바른 식습관 음식 레시피 건강 정보 제공은 물론 풀무원의 다양한 기업 및 마케팅 활동 내용을 소개할 예정이다 특히 고객들이 보다 건강하고 행복한 삶을 영위하는데 도움을 줄 수 있도록 매월 다양한 주제의 자체 캠페인을 릴레이 형식으로 진행한다 첫 주제는 ‘풀무원이 권하는 로하스 식생활’로 풀무원 식문화연구원에서 제안하는 올바른 식생활 10계명을 소개하고 식생활의 중요성을 알려나갈 계획이다 풀무원은 페이스북 오픈을 기념해 오는 30일까지 기념 이벤트를 진행한다 이벤트 참여는 페이스북을 방문해 ‘좋아요’를 클릭한 후 풀무원이 좋은 이유를 댓글로 남기면 된다 팬 50명을 추첨해 뮤즐리와 아임리얼 올바른 핫도그 만두 스노우앤 등 풀무원의 인기 상품을 제공한다 당첨자는 페이스북을 통해 오는 10월 4일에 발표한다 풀무원홀딩스 박승필 홍보팀장은 “그동안 풀무원은 블로그와 트위터를 통해 다양한 풀무원의 소식을 전달하는 것은 물론 소비자와의 적극적인 소통을 해왔다”며 “풀무원 페이스북을 바른먹거리 문화를 전파하고 확산시키는 건강한 정보 제공 공간으로 운영해 나갈 것”이라고 밝혔다
경향신문,풀무원 ‘굿바이 아토피!’ …어린이 예방·치료 앞장,풀무원대표 남승우 의 중장기 사회공헌 캠페인 ‘굿바이 아토피’의 2008년도 사업이 성황리에 마무리되고 2009년도에도 지속적으로 확대 펼쳐 나가기로 했다 풀무원은 이웃사랑과 생명존중의 기업 정신을 실천하며 아토피 피부염이 있는 어린이들에게 바른 식생활의 중요성을 알리고 그 실천을 돕기 위해 2007년부터 사여성환경연대와 함께 ‘굿바이 아토피’ 캠페인을 진행해오고 있다 풀무원은 캠페인 사업 기금을 확보하고 아토피에 대한 일반 소비자들의 관심을 유도하기 위해 두부류와 나물류 제품 중 ‘굿바이 아토피’ 마크가 부착되어 있는 제품 매출액의 01를 아토피 기금으로 조성하고 있다 ‘굿바이 아토피’ 캠페인 2년째를 맞은 올해는 특히 학교를 거점으로 한 통합적인 관리가 가능할 수 있도록 ‘아토피 통합 관리 시스템’을 구축하여 진행해 오고 있다 새롭게 도입된 ‘아토피 통합 관리 시스템’은 아토피 의료검진을 통해 구성된 ‘굿바이 아토피반’ 어린이를 대상으로 식품 알레르기 검사를 실시하고 개별 맞춤식단 아토피 제한 식품 가이드 라인을 제공했으며 주 1회 환경 건강관리사가 각 학생의 생활습관을 모니터링하고 아토피 샴푸와 목욕용품 보습제도 지원하는 등 더욱 효과적인 관리가 될 수 있도록 했다 아토피를 앓고 있는 어린이뿐만 아니라 교사와 학부모들에게도 아토피를 올바르게 알리고 어린이들에게 바른 식습관과 생활 습관을 지도할 수 있도록 예방 교육을 진행했으며 서울시 영양 보건 담당 교사들을 대상으로 식품 첨가물과 아토피 친환경 급식 등의 내용을 알리는 교육도 함께 전개했다 이 외에도 잠재적으로 아토피를 앓고 있는 어린이를 포함한 전교생을 대상으로 아토피 의료 검진 친환경 급식 아토피 예방 교육 등을 지원하며 유기농으로 직접 농작물을 가꾸고 수확하는 체험을 할 수 있는 로하스 텃밭을 학교 내에 별도로 운영하는 등 바른 먹거리와 환경의 소중함을 직접 체험할 수 있도록 다양한 이벤트를 실시했다 남승우 풀무원 사장은 “아토피 어린이의 증가는 아토피를 앓고 있는 어린이뿐 아니라 각 가정과 사회 전체의 큰 걱정거리”라며 “풀무원은 바른 먹거리가 어린이들이 바르고 건강하게 자라는 데에 도움이 된다는 믿음으로 ‘굿바이 아토피 캠페인’을 전개하고 있으며 앞으로는 서울시 등 지자체 보건소 교육청 학교 등 아토피 전문가로 구성된 공동 협의체를 구축하여 더욱 체계적인 시스템으로 아토피 어린이들에게 실질적인 도움이 될 수 있는 사업으로 전개해 나갈 계획”이라고 밝혔다 이준규기자
경향신문,"어린이 ‘바른 먹거리 캠페인’ 신청하세요… 풀무원, 사회공헌 교육 확대",풀무원이 어린이들의 바른 식생활을 위해 2010년부터 실시해온 ‘바른 먹거리 캠페인’ 교육을 확대한다 전문 식생활 교육 강사들이 어린이들에게 바른 식생활 습관을 가르쳐주는 풀무원의 대표적인 사회공헌 활동이다 풀무원은 13일 “올해 500회에 걸쳐 1만명을 교육할 예정”이라며 “장기적으로는 매년 1만명 이상을 교육해 2020년까지 바른 먹거리 교육을 받은 이른바 ‘바른 먹거리 지킴이’를 10만명까지 육성할 계획”이라고 밝혔다 지난해까지 4년간 교육을 받은 어린이는 총 2만여명이다 교육 대상을 넓히면서 바른 먹거리 프로그램도 식품표시·미각·영양균형 교육 등 세가지로 확대했다 식품표시 교육은 포장지에서 유통기한과 제조일자 원재료명과 함량·영양성분 등을 확인하고 배우는 시간으로 꾸며진다 바른 먹거리 캠페인은 6·7세 어린이와 초등학교 3·4학년생을 위주로 실시하고 있다 유치부 자녀를 둔 학부모를 대상으로 저나트륨과 저당 식습관을 위한 식생활 교육도 마련돼 있다 교육 인원이 최소 15명 이상으로 교육 장소를 제공할 수 있는 교육기관 및 단체어린이집·유치원·초등학교·지역아동센터 등 개인이 신청하면 된다 비영리사단법인인 푸드포체인지 홈페이지를 통해 참가 신청을 할 수 있다 비용은 무료다
경향신문,‘두부 한모’로 솜씨 겨루는 요리대회 열려,두부 한모를 기본 식재료로 한 요리대회가 열린다 식픔업체 풀무원은 오는 12월 11일 경희대학교에서 ‘제1회 두부 한 모 요리대회’를 개최한다고 10일 밝혔다 풀무원 측은 “남녀 노소 누구나 즐겨 먹는 건강식 ‘두부’를 주제로 창조적인 아이디어가 가미된 맛있는 요리 메뉴를 발굴하여 실생활에 보급 건강하고 즐거운 먹거리 문화를 만드는데 이바지하고자 기획됐다”고 밝혔다 풀무원 식문화연구원 조리연구실 김석화 실장은 “두부는 영양학적으로도 우수한 식품일 뿐 아니라 찌개부터 조림 찜은 물론 스파게티나 스무디 같은 다양한 요리로 활용할 수 있다”며 “이번 ‘두부 한 모 요리대회’를 통해 맛 간편성 건강이라는 세가지 요소를 모두 충족하는 레서피들을 발굴하여 소비자들이 좀 더 다양한 건강 두부 요리를 즐길 수 있도록 하겠다”고 전했다 본선에서 1등 ‘풀무원 바른 먹거리 상’으로 선정된 1팀에게는 상금 200만원 금상 1팀에 상금 100만원 은상 1팀에 상금 50만원을 각각 수여될 예정이다 요리에 관심이 있는 일반인과 조리학과 학생이라면 1인 혹은 2인이 한 팀을 구성하여 누구나 참가할 수 있다 참가 희망자는 25일까지 풀무원 홈페이지에 출품작의 요리명과 레서피 해당요리와 관련된 사연을 작성하여 응모하면 된다
경향신문,"풀무원, 13년 만에 새 CI 발표... 글로벌 로하스 도약 목표",풀무원 새 풀무원이 2005년 이후 13년 만에 기업이미지를 교체했다 계열사 브랜드도 일원화했다 풀무원은 31일 서울 수서동 본사에서 뉴 선포식을 열고 이 같은 내용을 포함한 회사 브랜드 체계와 경영전략을 발표했다 새로운 는 올해 전문경영인 체제로 새 출범한 풀무원의 도약 의지를 담았다고 풀무원은 설명했다 상징색을 기존의 연한 녹색에서 더 진한 녹색으로 바꿨고 영문 글씨체를 간결하게 바꿔 미래지향적 이미지를 표현했다 이효율 풀무원 대표는 “새 는 풀무원이 하나의 로하스 미션 아래 글로벌 기업으로 힘차게 나가겠다는 강력한 의지를 담고 있다”며 “회사의 대전환기를 맞아 더 큰 풀무원 세계 속 글로벌 로하스 기업으로 도약할 것”이라고 말했다 풀무원은 각 계열사 사명도 ‘ ’ 관점에서 변경하기로 하고 2000년 이래 독자적 사명을 썼던 ㈜이씨엠디와 ㈜푸드머스의 회사명을 각각 ‘㈜풀무원푸드앤컬처’와 ‘㈜풀무원푸드머스’로 변경했다 이에 따라 풀무원 주요 계열사들은 풀무원식품 풀무원건강생활 풀무원푸드머스 풀무원푸드앤컬처 풀무원다논 등으로 창사 이래 처음으로 풀무원 브랜드로 명칭이 통일됐다 풀무원은 또 미래 사업전략의 2대 키워드를 ‘바른먹거리식품사업’와 ‘건강생활’로 정하고 ‘로하스 7대 전략’을 발표했다 바른먹거리 영역에서는 ▲영양균형 ▲당흡수저감 ▲육류대체 ▲동물복지를 건강생활 영역에서는 ▲건강한 생활공간 ▲행복한 문화공간 전략을 영역 공통으로 ▲친환경 전략을 추진하기로 했다 앞서 풀무원은 4차례에 걸쳐 를 변경했다 1981년 풀무원 농장을 모태로 한 풀무원의 최초 는 삼각형 로고 형태였다 사업 초창기 사훈 ‘정심正心 정농正農 정식正食’의 뜻을 담았다 1984년 법인을 설립하면서 새싹이 떠오르는 해를 받치고 있는 녹색 모양으로 를 바꾸었다 법인설립 10년만인 1994년에 오늘날 풀무원하면 떠오르는 현재 형태의 기본틀이 만들어졌다 풀무원 변천사
