,created,tweet_text
0,Mon Aug 09 06:43:57 +0000 2021,96 저 옛날에 콩나물 함 키워봣는데 제 콩나물은 엄청 초록색에 얇고 시들해서 다 밭에 비료로 줘보렸거든요 오마이갓리틀풀무원수석원구원이즈히얼
1,Mon Aug 09 06:41:14 +0000 2021,근육 쩌는 190 언니들이 포효하는거 90분동안 보다가 김안산 보니까 걍 풀무원 순두부가 걸어다님 176
3,Mon Aug 09 06:36:30 +0000 2021,코스트코 가시는분들 꼭 저 풀무원 하트연두부를 사서 드십시오 완전 마싯습니당
5,Mon Aug 09 06:32:06 +0000 2021,머선129 21회 바른 먹거리 풀무원 쳐들어갔습니다 뿌뿌 2 22회 몸을 사리지 않는 대결 풀무원 강호동 92…
9,Mon Aug 09 06:20:07 +0000 2021,한때 ‘역성장’ 냉동피자오뚜기·풀무원· 포기 못하는 이유 4
11,Mon Aug 09 06:04:30 +0000 2021,21 혼자만 알기 너무 아까워서 올리는 자장면 재료 이 두 가지로 만들어 먹었더니 매우 훌륭하다 사진 찍는 것도 잊고 정신없이 먹을 정도 면 신맛 덜어내는 거랑 소스 풍미를 올리는 방법을 찾아내는 게 앞으로의 과제 풀무…
18,Mon Aug 09 05:49:36 +0000 2021,오늘 장본것 그릭요거트가 원플원인데 저지방이 하나뿐이라 플레인을 택했다 저지방이 구석에 숨어있어 손이 안닿아 낑낑거리자 옆에서 풀무원시식광고 하시는 분이 꺼내주셨다 감사합니다를 여러번 말했다죄송해요풀무… 0
22,Mon Aug 09 05:31:27 +0000 2021,나는 다 알고 있지… 하지만 걱정마여 나는 착즙 녹즙의 명가 풀무원 이니까
30,Mon Aug 09 05:11:47 +0000 2021,풀무원 순두부 에바ㅠ 걍 순두부 연두부 내가 호로록 해버림 79
33,Mon Aug 09 05:06:44 +0000 2021,풀무원 정확한 네이밍을 위해 비빵밀집으로 정정 부탁드립니다
37,Mon Aug 09 05:01:41 +0000 2021,22회 몸을 사리지 않는 대결 풀무원 강호동 92 샤이니 민호 머선129
43,Mon Aug 09 04:55:20 +0000 2021,3170 풀무원샘물 생수 2 18팩 240개 500 풀무원샘물 생수 2 파트너스 활동을 통해 일정액의 수수료를 제공받을 수 있음
47,Mon Aug 09 04:45:03 +0000 2021,생수호불호 삼다수 호호호 아이시스 호호 에비앙 굳이 있음먹음 백산수 호 석수 쌉불호 풀무원샘물 불호 피지워터 모름 제주용암수 있음먹음 기타 평창수 극호 마켓컬리 지리산수 별로
68,Mon Aug 09 04:02:09 +0000 2021,생수호불호 삼다수 극극극극극호 아이시스 불호 에비앙 불호 백산수 보통 석수 보통 풀무원샘물 보통 피지워터 보통 제주용암수 보통 기타 생각나는 게 없다
71,Mon Aug 09 04:00:36 +0000 2021,생수호불호 삼다수불호 아이시스극ㄱ극극극호 에비앙불호잇으면마심 백산수보통 석수호 풀무원샘물불호 피지워터극불호 제주용암수불호 기타ㅇㅓ음다이앙몬드생수불호
76,Mon Aug 09 03:56:39 +0000 2021,생수호불호 삼다수 아이시스 에비앙 백산수 석수 풀무원샘물 피지워터 제주용암수 기타
92,Mon Aug 09 03:29:28 +0000 2021,1 이것은 식품공학의 승리 풀무원 두부텐더푸주느낌의 포슬포슬 씹히는 두부반죽과 바삭매콤 자극적인 튀김옷이 만나니 진짜로 그럴듯한 텐더맛이 난다 눈감도 먹으면 치킨이라고 깜빡 속아줄 정도 52…
